osmid,y,x,highway,street_count,dc,cc,nbc,vul,ref,geometry
42421889,40.7341463,-73.9991816,traffic_signals,4,0.003978779840848806,0.029666941212921585,0.0012505239871636355,-0.0008386939762433422,,POINT (-73.9991816 40.7341463)
42422509,40.7381466,-73.9736517,,3,0.003978779840848806,0.04306920665541355,0.03723109053071262,0.0019173508581161872,,POINT (-73.9736517 40.7381466)
42422899,40.7456883,-73.9721236,traffic_signals,4,0.005305039787798408,0.05774759546679048,0.015829684947204048,0.0005209253743862449,,POINT (-73.9721236 40.7456883)
42423020,40.7460792,-73.9749383,traffic_signals,5,0.00663129973474801,0.05982841470065025,0.03498333618893323,0.002272154398645219,,POINT (-73.9749383 40.7460792)
42423774,40.738339,-73.9738156,,3,0.003978779840848806,0.051958902523530276,0.016199975463886605,0.0008966617639339841,,POINT (-73.9738156 40.738339)
42423832,40.7587817,-73.998505,,3,0.003978779840848806,0.049079473836807275,0.00045505234493235585,1.0847742430747956e-05,,POINT (-73.998505 40.7587817)
42423836,40.7593876,-73.9969538,,3,0.003978779840848806,0.05094572441137886,0.00470223217615603,-3.3030657060486206e-06,,POINT (-73.9969538 40.7593876)
42423847,40.7588687,-73.9992001,,3,0.002652519893899204,0.05245854296682156,0.0,-0.00018564519921182235,,POINT (-73.9992001 40.7588687)
42423885,40.7577433,-73.9968456,traffic_signals,4,0.005305039787798408,0.0563777794378678,0.018422806584002454,0.001807454606713976,,POINT (-73.9968456 40.7577433)
42424789,40.7576654,-73.9948115,traffic_signals,4,0.005305039787798408,0.05283190170354053,0.021530250772374266,0.0026610857311776814,,POINT (-73.9948115 40.7576654)
42426816,40.7472955,-73.9758273,traffic_signals,4,0.005305039787798408,0.05168304798649626,0.004513561493809089,0.0003311070274202832,,POINT (-73.9758273 40.7472955)
42426851,40.74693,-73.9692725,,3,0.003978779840848806,0.05532870677470598,0.020151894804288632,0.0020605580518595567,,POINT (-73.9692725 40.74693)
42426865,40.7374172,-73.974504,motorway_junction,3,0.002652519893899204,0.049353559956547235,0.016191168956934742,0.0003134904597800823,7,POINT (-73.974504 40.7374172)
42426875,40.7369776,-73.9749044,,3,0.003978779840848806,0.04989762040544331,0.012520690715394729,0.0002064065490170385,,POINT (-73.9749044 40.7369776)
42427369,40.7396792,-73.9909583,traffic_signals,4,0.005305039787798408,0.05052555348839841,0.02740883178093716,0.00012683118021860975,,POINT (-73.9909583 40.7396792)
42427371,40.7410305,-73.9941671,traffic_signals,4,0.005305039787798408,0.047735736536194236,0.06657591663344549,0.00019625910018710317,,POINT (-73.9941671 40.7410305)
42427374,40.742228,-73.997007,traffic_signals,4,0.005305039787798408,0.04879441841625402,0.03296211834701256,0.00027830049601857093,,POINT (-73.997007 40.742228)
42427381,40.7434264,-73.9998513,traffic_signals,4,0.005305039787798408,0.046079750344593676,0.01793551659781776,-0.00012644817360585428,,POINT (-73.9998513 40.7434264)
42427386,40.7446399,-74.0027323,traffic_signals,4,0.003978779840848806,0.04678045617894303,0.010371164497029312,-0.00020947763835159653,,POINT (-74.0027323 40.7446399)
42427423,40.7435682,-73.9923179,traffic_signals,4,0.005305039787798408,0.0540782215824004,0.06092819506019164,0.00045759699502459175,,POINT (-73.9923179 40.7435682)
