osmid,y,x,street_count,dc,cc,bc,vul,eff,highway,ref,geometry
587993,-23.55821,-46.6382561,3,0.0022338049143708115,0.0014892032762472078,0.002616227026191261,0.006405138983366285,0.07609631930206648,,,POINT (-46.6382561 -23.55821)
597282,-23.5510876,-46.6261325,3,0.0022338049143708115,0.029891752290059533,0.030946866989371078,0.01006283299460066,0.07609631930206648,,,POINT (-46.6261325 -23.5510876)
597283,-23.5533268,-46.6252641,4,0.0029784065524944155,0.03291506825595627,0.03776337344490671,0.0021422317096268318,0.07609631930206648,traffic_signals,,POINT (-46.6252641 -23.5533268)
25870924,-23.559199,-46.614258,1,0.0007446016381236039,0.0,0.0,4.383325157015632e-05,0.07609631930206648,,,POINT (-46.614258 -23.559199)
25870935,-23.559384,-46.6143501,1,0.0007446016381236039,0.043424052249651623,0.0,-2.6224853611950423e-05,0.07609631930206648,,,POINT (-46.6143501 -23.559384)
25871539,-23.5560493,-46.6222841,3,0.0022338049143708115,0.032203843393736685,0.015210007001639601,0.0005318949059685777,0.07609631930206648,,,POINT (-46.6222841 -23.5560493)
25871670,-23.5523785,-46.6257511,3,0.0022338049143708115,0.0007446016381236039,0.0007196336249227379,0.0017350259953689473,0.07609631930206648,,,POINT (-46.6257511 -23.5523785)
25871831,-23.5519102,-46.6257308,4,0.0029784065524944155,0.03084629285043048,0.03126272253208599,0.002640854595208058,0.07609631930206648,traffic_signals,,POINT (-46.6257308 -23.5519102)
25871833,-23.5522727,-46.6256216,3,0.0022338049143708115,0.031830448397442146,0.0376619967060167,0.0019640533822216644,0.07609631930206648,,,POINT (-46.6256216 -23.5522727)
25872025,-23.5501074,-46.6266488,3,0.0022338049143708115,0.029004887832313486,0.021112218607140264,0.012008444420883646,0.07609631930206648,,,POINT (-46.6266488 -23.5501074)
25872075,-23.5481997,-46.6286296,3,0.0022338049143708115,0.04421866494277251,0.07768600083753678,0.004004587685825827,0.07609631930206648,,,POINT (-46.6286296 -23.5481997)
25872212,-23.5461204,-46.6301486,3,0.0022338049143708115,0.0463505580425746,0.07767601363225642,0.004067604753783825,0.07609631930206648,,,POINT (-46.6301486 -23.5461204)
25872232,-23.5444987,-46.6297656,3,0.0022338049143708115,0.044077631906095184,0.05259845788572204,0.0015391387684722407,0.07609631930206648,,,POINT (-46.6297656 -23.5444987)
25872236,-23.5448763,-46.6305184,3,0.0022338049143708115,0.03907170667355498,0.031291897815947475,0.003430199372483312,0.07609631930206648,,,POINT (-46.6305184 -23.5448763)
25872254,-23.5428224,-46.6291191,3,0.0022338049143708115,0.04646211812496933,0.05149090319895128,0.0015881037183346292,0.07609631930206648,,,POINT (-46.6291191 -23.5428224)
25872264,-23.5436253,-46.6297566,4,0.0029784065524944155,0.04334399964078239,0.012496590729152735,0.0005403942627657544,0.07609631930206648,traffic_signals,,POINT (-46.6297566 -23.5436253)
