osmid,y,x,street_count,dc,cc,nbc,vul,highway,geometry
42422509,40.7381466,-73.9736517,3,0.0026109660574412533,0.0,0.0,-0.0016429372570050185,,POINT (-73.9736517 40.7381466)
42422899,40.7456883,-73.9721236,4,0.005221932114882507,0.07094363379009432,0.011118909046943263,-0.00014411746607496522,traffic_signals,POINT (-73.9721236 40.7456883)
42423020,40.7460792,-73.9749383,5,0.013054830287206266,0.08110346282670043,0.06036076901794954,0.005038288974933644,traffic_signals,POINT (-73.9749383 40.7460792)
42423774,40.738339,-73.9738156,3,0.005221932114882507,0.06469645496025736,0.0,-0.0005878527818041178,,POINT (-73.9738156 40.738339)
42423885,40.7577433,-73.9968456,4,0.005221932114882507,0.06729549770391702,0.0,-0.0008955152730664821,traffic_signals,POINT (-73.9968456 40.7577433)
42424789,40.7576654,-73.9948115,4,0.005221932114882507,0.04842078891623564,0.013082349257557383,0.0027443330365720816,traffic_signals,POINT (-73.9948115 40.7576654)
42426816,40.7472955,-73.9758273,4,0.010443864229765013,0.06352249066331758,0.008960531297098224,0.000615566816598844,traffic_signals,POINT (-73.9758273 40.7472955)
42427369,40.7396792,-73.9909583,4,0.010443864229765013,0.05404875495780859,0.011436542385792567,-0.0008156437594144188,traffic_signals,POINT (-73.9909583 40.7396792)
42427371,40.7410305,-73.9941671,4,0.010443864229765013,0.04895216459733781,0.026688715035399442,-0.0008075478936725928,traffic_signals,POINT (-73.9941671 40.7410305)
42427374,40.742228,-73.997007,4,0.00783289817232376,0.051235951062528415,0.00940124170849532,-0.001202082507988537,traffic_signals,POINT (-73.997007 40.742228)
42427423,40.7435682,-73.9923179,4,0.010443864229765013,0.059593588469891205,0.04676837485265801,0.00030606841758672605,traffic_signals,POINT (-73.9923179 40.7435682)
42427426,40.744765,-73.9951595,4,0.010443864229765013,0.06030978582756641,0.015249613217566876,0.00030121101079867593,traffic_signals,POINT (-73.9951595 40.744765)
42427427,40.7459612,-73.998,4,0.005221932114882507,0.0,0.0,-0.0010734001680939409,traffic_signals,POINT (-73.998 40.7459612)
42427786,40.745301,-73.986846,4,0.010443864229765013,0.08243575790393576,0.062823271431704,0.0015137702264645331,traffic_signals,POINT (-73.986846 40.745301)
42427787,40.7460483,-73.9886101,4,0.010443864229765013,0.07822384215045472,0.01706073891132975,0.0006360973052828068,traffic_signals,POINT (-73.9886101 40.7460483)
42427797,40.7466658,-73.9900676,4,0.010443864229765013,0.07539981779902971,0.04166390155616725,0.0011937571899353309,traffic_signals,POINT (-73.9900676 40.7466658)
42427805,40.7478717,-73.9929242,4,0.010443864229765013,0.07630748192036967,0.05215258728760143,0.000492364374306552,traffic_signals,POINT (-73.9929242 40.7478717)
42427812,40.7490537,-73.9957298,4,0.00783289817232376,0.07118123067237005,0.027348791662859105,0.0005116224879334274,traffic_signals,POINT (-73.9957298 40.7490537)
42428179,40.7384929,-73.9899534,4,0.005221932114882507,0.0536953376271289,0.004518742290184085,-0.0013585587967183041,traffic_signals,POINT (-73.9899534 40.7384929)
42428183,40.7391754,-73.9897504,4,0.010443864229765013,0.056792820951422573,0.014659086774606069,-0.000189104358831261,traffic_signals,POINT (-73.9897504 40.7391754)
42428192,40.7398661,-73.9895652,4,0.010443864229765013,0.05973151378623746,0.02591902818500269,1.2424089386355824e-05,traffic_signals,POINT (-73.9895652 40.7398661)
42428198,40.7406183,-73.9894381,4,0.010443864229765013,0.06290319061506795,0.03142674726800385,0.001613951768043244,traffic_signals,POINT (-73.9894381 40.7406183)
42428201,40.7413643,-73.9891378,4,0.01566579634464752,0.06665115788469847,0.056409511350453995,0.004159268356744372,traffic_signals,POINT (-73.9891378 40.7413643)
42428206,40.7422186,-73.9891071,3,0.00783289817232376,0.06047128483564023,0.001915895593871891,-0.0004481838987041519,traffic_signals,POINT (-73.9891071 40.7422186)
42428212,40.7430428,-73.9891631,3,0.00783289817232376,0.05981061527776037,0.006694872390742689,-0.000392271257765053,traffic_signals,POINT (-73.9891631 40.7430428)
42428220,40.7445363,-73.9888917,3,0.00783289817232376,0.0726263169634071,0.012546351630925321,0.00015999708747740948,traffic_signals,POINT (-73.9888917 40.7445363)
42428223,40.7452886,-73.9887531,4,0.010443864229765013,0.07539981779902971,0.010131569379684182,0.0004558322696532805,traffic_signals,POINT (-73.9887531 40.7452886)
42428227,40.7467961,-73.9884727,4,0.010443864229765013,0.07997253804624842,0.014272035570998159,0.0007841483242499712,traffic_signals,POINT (-73.9884727 40.7467961)
42428232,40.7475458,-73.9883326,4,0.010443864229765013,0.08251105889311496,0.015127226218930489,0.0008417783563294453,traffic_signals,POINT (-73.9883326 40.7475458)
42428253,40.7506824,-73.9878205,3,0.00783289817232376,0.08631531937242007,0.007701099961814413,0.0005090768452591136,traffic_signals,POINT (-73.9878205 40.7506824)
42428258,40.751444,-73.9876732,4,0.010443864229765013,0.0791491625176233,0.016992162960416116,0.0009497485014823773,traffic_signals,POINT (-73.9876732 40.751444)
42428264,40.7521844,-73.9875229,4,0.010443864229765013,0.08332931893287601,0.021316361442722653,0.0007426891573975775,traffic_signals,POINT (-73.9875229 40.7521844)
42428268,40.7528837,-73.9873365,4,0.010443864229765013,0.07760221797529003,0.01950993187037464,0.0006278242382134099,traffic_signals,POINT (-73.9873365 40.7528837)
42428272,40.7536222,-73.9870696,3,0.00783289817232376,0.079672751244311,0.021199809097689013,0.0005049536712919391,traffic_signals,POINT (-73.9870696 40.7536222)
42428277,40.7543353,-73.9868976,3,0.00783289817232376,0.07111118419463695,0.015133720502287212,0.0013696537743291928,traffic_signals,POINT (-73.9868976 40.7543353)
42428283,40.7550539,-73.9866712,4,0.010443864229765013,0.07328923466388446,0.009789749928537738,5.22375391246147e-05,traffic_signals,POINT (-73.9866712 40.7550539)
42428287,40.7558193,-73.9864249,3,0.013054830287206266,0.07357278087822243,0.017028134684806538,-8.178757092583392e-06,traffic_signals,POINT (-73.9864249 40.7558193)
42429657,40.7385111,-73.9918061,4,0.005221932114882507,0.04909597196996136,0.0,-0.0017745120892125313,traffic_signals,POINT (-73.9918061 40.7385111)
42429659,40.73986,-73.995018,4,0.010443864229765013,0.04454640943076691,0.010100877938150527,0.0037796915909773503,traffic_signals,POINT (-73.995018 40.73986)
42429661,40.741056,-73.997862,4,0.005221932114882507,0.04662140992167102,0.005145510420755443,-0.0020070285325139406,traffic_signals,POINT (-73.997862 40.741056)
42429874,40.743451,-73.988194,4,0.010443864229765013,0.07305214858328961,0.09910306118614103,0.008195583953784839,traffic_signals,POINT (-73.988194 40.743451)
42429876,40.7427711,-73.9865977,4,0.010443864229765013,0.06939042191145581,0.05232173814692141,0.002551103703739985,traffic_signals,POINT (-73.9865977 40.7427711)
42429888,40.7420643,-73.9849234,4,0.010443864229765013,0.06983299708019915,0.054968182615470415,0.0020755294954402635,traffic_signals,POINT (-73.9849234 40.7420643)
42429890,40.7414058,-73.9833636,4,0.010443864229765013,0.07176085936304873,0.03689447613085799,0.0016649877170801586,traffic_signals,POINT (-73.9833636 40.7414058)
42429896,40.7407284,-73.981759,4,0.010443864229765013,0.06799321168478555,0.03937136466042026,0.001488534596699955,traffic_signals,POINT (-73.981759 40.7407284)
42429900,40.7397948,-73.9795312,4,0.013054830287206266,0.06644279641282648,0.018730632370451424,0.0009243147262355295,traffic_signals,POINT (-73.9795312 40.7397948)
42429910,40.7392336,-73.9781918,3,0.013054830287206266,0.06422252522092968,0.011637206704117763,0.00022536182884456624,,POINT (-73.9781918 40.7392336)
42429918,40.738796,-73.977148,4,0.013054830287206266,0.0661387382194674,0.029926260372184415,0.0025913338827132323,traffic_signals,POINT (-73.977148 40.738796)
42430257,40.738686,-73.995874,4,0.0026109660574412533,0.0,0.0,-0.0024677318547266726,traffic_signals,POINT (-73.995874 40.738686)
42430259,40.739272,-73.995446,4,0.005221932114882507,0.0026109660574412533,0.0025016062225746037,0.0005199312592140367,traffic_signals,POINT (-73.995446 40.739272)
42430263,40.740442,-73.994593,4,0.010443864229765013,0.04885948977592297,0.022576518530921956,-0.0011484144573134607,traffic_signals,POINT (-73.994593 40.740442)
42430265,40.7416174,-73.9937398,4,0.010443864229765013,0.05404875495780859,0.039140298727526494,-0.0005114105746907429,traffic_signals,POINT (-73.9937398 40.7416174)
42430269,40.7422328,-73.9932916,4,0.010443864229765013,0.05406492995555146,0.03887507143356061,-0.00019994927979262924,traffic_signals,POINT (-73.9932916 40.7422328)
42430271,40.7429103,-73.9927979,4,0.01566579634464752,0.06139607933610033,0.04712373408857576,-1.7520005956591734e-06,traffic_signals,POINT (-73.9927979 40.7429103)
42430274,40.744186,-73.991871,4,0.010443864229765013,0.060501662239275014,0.053679868429428554,0.0011970644695102823,traffic_signals,POINT (-73.991871 40.744186)
42430277,40.7448072,-73.9914152,4,0.010443864229765013,0.06422252522092968,0.06904528571146597,0.0044698317202807826,traffic_signals,POINT (-73.9914152 40.7448072)
42430279,40.745421,-73.990968,4,0.010443864229765013,0.06972518851658634,0.04120896089826249,0.001298651400423265,traffic_signals,POINT (-73.990968 40.745421)
42430282,40.746038,-73.990518,4,0.010443864229765013,0.07077687108578852,0.03483042188002997,0.0011208186145937413,traffic_signals,POINT (-73.990518 40.746038)
42430288,40.747277,-73.989617,4,0.010443864229765013,0.07630748192036967,0.03716473835436576,0.0013141515326657578,traffic_signals,POINT (-73.989617 40.747277)
42430292,40.7478958,-73.9891568,4,0.010443864229765013,0.07997253804624842,0.037924239146789836,0.001556548997508072,traffic_signals,POINT (-73.9891568 40.7478958)
42430295,40.7485081,-73.9886948,4,0.010443864229765013,0.0806328781283085,0.029454802358898,0.0016826946342240216,traffic_signals,POINT (-73.9886948 40.7485081)
42430298,40.7491217,-73.9882353,4,0.010443864229765013,0.08750688469192308,0.04099518169731937,0.0019694202850257686,traffic_signals,POINT (-73.9882353 40.7491217)
42430304,40.7497993,-73.9877404,4,0.01566579634464752,0.09278786001359794,0.11351916280088145,0.004238836733300816,traffic_signals,POINT (-73.9877404 40.7497993)
42430308,40.7504574,-73.9872874,4,0.010443864229765013,0.09071451842655044,0.03479099287198713,0.001960097478972753,traffic_signals,POINT (-73.9872874 40.7504574)
42430311,40.751088,-73.9868238,4,0.010443864229765013,0.08629470429733709,0.04398636601508052,0.001795392911567702,traffic_signals,POINT (-73.9868238 40.751088)
42430314,40.7517,-73.986399,4,0.010443864229765013,0.08836290704156283,0.04093808913210854,0.0014931385177386859,traffic_signals,POINT (-73.986399 40.7517)
42430317,40.752317,-73.985947,4,0.010443864229765013,0.08332931893287601,0.03903596970425218,0.0013866341523613135,traffic_signals,POINT (-73.985947 40.752317)
