osmid,y,x,street_count,dc,cc,nbc,vul,highway,ref,geometry
587993,-23.55821,-46.6382561,3,0.001855287569573284,0.0014055208860403667,0.0026051953540461316,0.006197789903369743,,,POINT (-46.6382561 -23.55821)
597282,-23.5510876,-46.6261325,3,0.001855287569573284,0.030174414588645025,0.03627068448128476,0.009368588223344161,,,POINT (-46.6261325 -23.5510876)
597283,-23.5533268,-46.6252641,4,0.0024737167594310453,0.03322756383710531,0.04276350874345108,0.0018520260197163714,traffic_signals,,POINT (-46.6252641 -23.5533268)
20944551,-23.538894,-46.6513228,3,0.001855287569573284,0.026486383380342964,0.0005943196360452373,-0.00022581832873851053,,,POINT (-46.6513228 -23.538894)
20944552,-23.5403107,-46.6517752,4,0.001855287569573284,0.027233579002910593,0.0005966157840273824,-0.00027972825079287077,,,POINT (-46.6517752 -23.5403107)
25870741,-23.5627419,-46.6122061,1,0.0006184291898577613,0.041935208812965724,0.0,6.124329143358681e-06,,,POINT (-46.6122061 -23.5627419)
25871539,-23.5560493,-46.6222841,3,0.001855287569573284,0.032441138050479566,0.019955518244263185,0.0005905927179805606,,,POINT (-46.6222841 -23.5560493)
25871670,-23.5523785,-46.6257511,3,0.001855287569573284,0.0006184291898577613,0.0005950850187059522,0.0015011107704065232,,,POINT (-46.6257511 -23.5523785)
25871831,-23.5519102,-46.6257308,4,0.0024737167594310453,0.031136405090157394,0.036518771154659374,0.0022014088138095143,traffic_signals,,POINT (-46.6257308 -23.5519102)
25871833,-23.5522727,-46.6256216,3,0.001855287569573284,0.03213428582124155,0.042667850489579044,0.0016917178768738987,,,POINT (-46.6256216 -23.5522727)
25872025,-23.5501074,-46.6266488,3,0.001855287569573284,0.029278627248173216,0.024833506899756955,0.011322850425992995,,,POINT (-46.6266488 -23.5501074)
25872075,-23.5481997,-46.6286296,3,0.001855287569573284,0.042927900865336946,0.07764793927130562,0.0036249774346331733,,,POINT (-46.6286296 -23.5481997)
25872212,-23.5461204,-46.6301486,3,0.001855287569573284,0.044909563035266414,0.07765023541928776,0.003650356072696731,,,POINT (-46.6301486 -23.5461204)
25872232,-23.5444987,-46.6297656,3,0.001855287569573284,0.04298184425068822,0.04840606041363279,0.001433567901120613,,,POINT (-46.6297656 -23.5444987)
25872236,-23.5448763,-46.6305184,3,0.001855287569573284,0.03854254446931592,0.03507836354998698,0.00281754047515104,,,POINT (-46.6305184 -23.5448763)
25872254,-23.5428224,-46.6291191,3,0.001855287569573284,0.045518064252293974,0.04706446449011135,0.0014825282042359622,,,POINT (-46.6291191 -23.5428224)
25872264,-23.5436253,-46.6297566,4,0.0024737167594310453,0.04252880288340251,0.009923372413067623,0.0004490831852302705,traffic_signals,,POINT (-46.6297566 -23.5436253)
25872274,-23.5394006,-46.6271577,4,0.0024737167594310453,0.0430790381393934,0.06825980119936247,0.0005370159810351531,traffic_signals,,POINT (-46.6271577 -23.5394006)
25872723,-23.5332714,-46.6254827,3,0.001855287569573284,0.03580116267276864,0.0135047314626706,-8.177344669001232e-05,,,POINT (-46.6254827 -23.5332714)
