osmid,y,x,highway,street_count,dc,cc,nbc,vul,ref,geometry
582438,-23.528187,-46.6619198,traffic_signals,4,0.0010075566750629723,0.028545155078675267,0.009621177265184726,8.709083021603166e-05,,POINT (-46.6619198 -23.528187)
587993,-23.55821,-46.6382561,,3,0.0007556675062972292,0.029646926227618903,0.037363536200875985,0.007163873998278715,,POINT (-46.6382561 -23.55821)
597269,-23.5689779,-46.608044,traffic_signals,4,0.0010075566750629723,0.02944593874182281,0.007341531630844333,0.0057729209098888465,,POINT (-46.608044 -23.5689779)
597270,-23.5685427,-46.6078851,traffic_signals,4,0.0010075566750629723,0.0286916206072311,0.009708037068145188,0.0001521381436388496,,POINT (-46.6078851 -23.5685427)
597282,-23.5510876,-46.6261325,,3,0.0007556675062972292,0.03325025120240205,0.0856562442880674,0.007205372245676129,,POINT (-46.6261325 -23.5510876)
597283,-23.5533268,-46.6252641,traffic_signals,4,0.0010075566750629723,0.029921904852732377,0.015560655194648366,0.0007395116897907408,,POINT (-46.6252641 -23.5533268)
597426,-23.5252524,-46.6253024,,3,0.0007556675062972292,0.032924535639768604,0.006680108300797428,0.0001896229539793499,,POINT (-46.6253024 -23.5252524)
597434,-23.5230076,-46.6129726,motorway_junction,3,0.0007556675062972292,0.025592568402751998,0.00937519076183855,0.0018623074253673302,,POINT (-46.6129726 -23.5230076)
597437,-23.5241424,-46.6086344,,3,0.0007556675062972292,0.02283156562348367,0.0018458803921148803,0.00013205604504880488,,POINT (-46.6086344 -23.5241424)
20944547,-23.5321244,-46.6587483,traffic_signals,4,0.0010075566750629723,0.026027408586068536,0.019338402317605724,0.0001202831375041761,,POINT (-46.6587483 -23.5321244)
20944548,-23.534842,-46.6601022,traffic_signals,4,0.0015113350125944584,0.02553094085960452,0.0019228526849368176,6.851069149079479e-05,,POINT (-46.6601022 -23.534842)
20944550,-23.5372021,-46.6535506,traffic_signals,4,0.0010075566750629723,0.027284198712894215,0.0026309299150693894,0.00014598922787837395,,POINT (-46.6535506 -23.5372021)
20944551,-23.538894,-46.6513228,,3,0.0010075566750629723,0.028338554610960666,0.00041677529346736443,7.323179040382907e-05,,POINT (-46.6513228 -23.538894)
20944552,-23.5403107,-46.6517752,,4,0.0012594458438287153,0.02902098082225952,0.0011378113562737022,2.4805311050425214e-05,,POINT (-46.6517752 -23.5403107)
20944553,-23.5400651,-46.6526531,,3,0.0007556675062972292,0.028182820364248497,0.000919068735332939,-5.4922721796793855e-06,,POINT (-46.6526531 -23.5400651)
20944554,-23.5416139,-46.6531738,traffic_signals,4,0.0010075566750629723,0.028400391007983875,0.0005772579870869921,1.2926345916837632e-05,,POINT (-46.6531738 -23.5416139)
20944556,-23.5477074,-46.6552234,traffic_signals,4,0.0010075566750629723,0.029215059024606593,0.009410841775347822,7.959146893667803e-05,,POINT (-46.6552234 -23.5477074)
25777913,-23.518581,-46.6469816,,3,0.0010075566750629723,0.02489278941194015,0.00012483368298238327,2.986172620353094e-05,,POINT (-46.6469816 -23.518581)
25777925,-23.5207514,-46.6433446,,3,0.0007556675062972292,0.024892296914523798,0.0008426172006180142,-3.5797824578319135e-05,,POINT (-46.6433446 -23.5207514)
25777928,-23.5208924,-46.6426901,,3,0.0007556675062972292,0.026856900282788337,0.016691999049925504,-4.4980999654787184e-05,,POINT (-46.6426901 -23.5208924)
