u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ebc,vulnerability,junction,bridge
1446670972,1437659085,0,448350906,True,2,Avenida dos Astronautas,secondary,60,False,153.286,"LINESTRING (-45.8658229 -23.1949238, -45.8659978 -23.1947089, -45.8661647 -23.1945881, -45.8661788 -23.1945779, -45.8663895 -23.1944934, -45.8666181 -23.1944743, -45.8668631 -23.1945028, -45.8668763 -23.1945043, -45.8671338 -23.1945142)",0.0018938567793529626,,,
1446670972,6193276640,0,772037050,True,2,,motorway_link,60,False,85.16,"LINESTRING (-45.8658229 -23.1949238, -45.8659128 -23.1944682, -45.8660153 -23.1941804)",0.0018938567793529626,0.9972188467253804,,
1446670988,1454021673,0,312071903,True,,Avenida dos Astronautas,secondary,60,False,222.525,"LINESTRING (-45.8540288 -23.2182371, -45.8541801 -23.2178618, -45.8542699 -23.2177099, -45.8545876 -23.2172996, -45.8552113 -23.2165742)",0.06486435443338825,0.9936903294052232,,
1446670988,1446748371,0,312135006,True,,,secondary_link,60,False,40.15,"LINESTRING (-45.8540288 -23.2182371, -45.8540791 -23.2181952, -45.8541076 -23.2181764, -45.8541706 -23.2181496, -45.8542276 -23.2181493, -45.8542762 -23.2181801, -45.8543399 -23.2182562)",0.02502847449412335,0.9919161447298841,,
1446670989,1454044981,0,312071903,True,,Avenida dos Astronautas,secondary,60,False,46.913,"LINESTRING (-45.8569489 -23.2140414, -45.8570612 -23.2138016, -45.8570954 -23.2137139, -45.8571112 -23.2136478)",0.007645688553155428,0.9995505945731207,,
1446670989,3178889265,0,312071905,True,,Rua Professor Waldemar Ramos,residential,,False,24.064,"LINESTRING (-45.8569489 -23.2140414, -45.8569012 -23.2140587, -45.8568374 -23.2140591, -45.8567784 -23.2140421, -45.85673 -23.2140118)",0.00318054265590251,0.9997207626798414,,
1446671002,2143249780,0,132121238,True,,Avenida Doutor Amin Simão,tertiary,60,False,38.96,"LINESTRING (-45.8560897 -23.2230937, -45.8560427 -23.222746)",0.0028753180661577607,0.9997563951703613,,
1446671002,1446674016,0,312071894,True,,,tertiary_link,,False,46.416000000000004,"LINESTRING (-45.8560897 -23.2230937, -45.8560436 -23.2230173, -45.8560194 -23.2229217, -45.8559642 -23.222808, -45.8559424 -23.2227763, -45.8558953 -23.2227214)",0.002791712104689204,0.999921012498622,,
1446671007,1453987215,0,312071903,True,,Avenida dos Astronautas,secondary,60,False,130.267,"LINESTRING (-45.8575321 -23.208997, -45.8581212 -23.2082652, -45.8582902 -23.2080552)",0.15928714598143126,0.9965111759076909,,
1446671010,4453703041,0,448342048,True,,Avenida dos Astronautas,secondary,60,False,41.732,"LINESTRING (-45.8639063 -23.2000514, -45.8640778 -23.1997108)",0.0036495819701926574,0.9998311171994342,,
1446671010,4453703042,0,885507245,True,,Rua Raul Franco Martins,residential,,False,52.384,"LINESTRING (-45.8639063 -23.2000514, -45.8639072 -23.1997227, -45.8639296 -23.1995818)",0.005264206955046649,0.9995260091376756,,
1446671013,3178886355,0,132120725,True,,,secondary_link,,False,70.983,"LINESTRING (-45.854189 -23.2192006, -45.8541072 -23.2190992, -45.8540093 -23.2189563, -45.8539526 -23.2188753, -45.8539329 -23.2188472, -45.8538893 -23.2187843, -45.8538397 -23.2187319, -45.8538226 -23.2187153, -45.8537872 -23.2186819)",0.014672240397431235,0.9994461419207801,,
1446671013,1446748353,0,312071892,True,,Avenida Brigadeiro Faria Lima,tertiary,60,False,47.435,"LINESTRING (-45.854189 -23.2192006, -45.8540928 -23.2189772, -45.8540697 -23.2188966, -45.8540412 -23.218797)",0.022179813401187447,0.9994744244950713,,
1446671015,1453969499,0,132113622,False,,Rua Avião Ipanema,residential,,False,87.42,"LINESTRING (-45.8612975 -23.203508, -45.8606957 -23.2029493)",0.00801051857906511,0.9978440108194169,,
1446671015,1453969576,0,448342028,True,,Avenida dos Astronautas,secondary,60,False,177.45100000000002,"LINESTRING (-45.8612975 -23.203508, -45.8613666 -23.203219, -45.8614599 -23.2028635, -45.8616347 -23.202485, -45.8618354 -23.2021928, -45.8619612 -23.2020581)",0.07369535535529995,0.9963406573736829,,
1446671018,1453987139,0,310701931,False,,Rua Orion,residential,,False,93.618,"LINESTRING (-45.8605262 -23.2055917, -45.8599962 -23.204905)",0.018837988121349906,0.9965381832415727,,
1446671018,3161589327,0,448342052,True,,Avenida dos Astronautas,secondary,60,False,21.834,"LINESTRING (-45.8605262 -23.2055917, -45.8605868 -23.2055426, -45.8606704 -23.2054477)",0.1298815764567001,0.9984713267388408,,
1446671019,1446671010,0,448342025,True,,Avenida dos Astronautas,secondary,60,False,40.392,"LINESTRING (-45.8636959 -23.2003589, -45.8639063 -23.2000514)",0.008899248758027384,,,
1446671022,1454044978,0,132121716,False,,Rua Chackler Elhage,residential,,False,59.529,"LINESTRING (-45.8569899 -23.2107427, -45.8569067 -23.210743, -45.8564079 -23.2107636)",0.0012369860843143288,0.9985739994886613,,
1446671022,1454044940,0,312071903,True,,Avenida dos Astronautas,secondary,60,False,55.304,"LINESTRING (-45.8569899 -23.2107427, -45.8569819 -23.2104375, -45.8569805 -23.2103828, -45.8569939 -23.210246)",0.06533595796797056,0.9968876101288746,,
1446671027,1446670972,0,772037051,True,,Avenida dos Astronautas,secondary,60,False,66.198,"LINESTRING (-45.8656856 -23.1955056, -45.8658229 -23.1949238)",0.0056706652126499455,,,
1446671028,1446671007,0,312071903,True,,Avenida dos Astronautas,secondary,60,False,104.46100000000001,"LINESTRING (-45.8570945 -23.2098454, -45.8571415 -23.209737, -45.85723 -23.2095484, -45.8575321 -23.208997)",0.06555317715574585,,,
1446671028,1454006732,0,312091236,True,,,secondary_link,,False,34.324999999999996,"LINESTRING (-45.8570945 -23.2098454, -45.857075 -23.2097778, -45.8570638 -23.209742, -45.8570486 -23.2097058, -45.8570352 -23.2096855, -45.8570137 -23.2096621, -45.8569882 -23.2096467, -45.8569483 -23.2096368, -45.8569025 -23.209641)",0.022608174752667635,0.9988919984728677,,
1446674016,1446748375,0,312071895,True,,,unclassified,,False,48.37700000000001,"LINESTRING (-45.8558953 -23.2227214, -45.8558473 -23.2226931, -45.8558019 -23.2226446, -45.8557707 -23.2225877, -45.8557572 -23.2225252, -45.8557623 -23.2224616, -45.8557856 -23.2224016, -45.8558256 -23.2223495)",0.006539440203562341,0.9998436378300821,circular,
1446674017,8167146377,0,132121239,True,,Avenida Doutor Amin Simão,tertiary,60,False,50.338,"LINESTRING (-45.8561454 -23.2227145, -45.8561609 -23.2228276, -45.8561946 -23.2230263, -45.8562257 -23.2231609)",0.005623409669211196,0.9990862360982226,,
1446674017,2143249780,0,448352067,True,,,unclassified,,False,11.127,"LINESTRING (-45.8561454 -23.2227145, -45.8560959 -23.2227353, -45.8560427 -23.222746)",0.024085786986550346,0.9997745265869763,circular,
1446674018,1446674021,0,"[131451065, 312106034, 312065462, 312106031]",True,2,Rua Doutora Tânia Lis Tizzoni Nogueira,unclassified,60,False,442.577,"LINESTRING (-45.8606049 -23.2237976, -45.8610664 -23.2242429, -45.8613771 -23.2245271, -45.8614407 -23.2245852, -45.8616201 -23.2247494, -45.8614806 -23.2248836, -45.8612247 -23.2251297, -45.861084 -23.2252651, -45.86085 -23.2250292, -45.861303 -23.2245968, -45.8612582 -23.2245546, -45.8605319 -23.2238706)",0.00376226826608506,0.9999425545444526,,
1446674018,1446674021,1,448343876,True,2,Rua Doutora Tânia Lis Tizzoni Nogueira,unclassified,60,False,11.807,"LINESTRING (-45.8606049 -23.2237976, -45.8605978 -23.2238233, -45.8605819 -23.2238455, -45.8605592 -23.2238619, -45.8605319 -23.2238706)",0.00376226826608506,,roundabout,
1446674020,1446674018,0,448343876,True,2,Rua Doutora Tânia Lis Tizzoni Nogueira,unclassified,60,False,21.381999999999998,"LINESTRING (-45.8604587 -23.2237295, -45.8604816 -23.2237161, -45.8605079 -23.2237098, -45.8605351 -23.2237111, -45.8605591 -23.2237192, -45.8605795 -23.2237333, -45.8605947 -23.2237521, -45.8606035 -23.2237742, -45.8606049 -23.2237976)",0.007509996364958197,,roundabout,
1446674021,1446674033,0,448343876,True,2,Rua Doutora Tânia Lis Tizzoni Nogueira,unclassified,60,False,13.242999999999999,"LINESTRING (-45.8605319 -23.2238706, -45.860506 -23.2238711, -45.860481 -23.2238648, -45.8604591 -23.223852, -45.8604422 -23.223834, -45.8604317 -23.2238122)",0.007539076699382043,0.9996940647646518,roundabout,
1446674033,1446674017,0,"[312065461, 312071887]",True,2,Rua Doutora Tânia Lis Tizzoni Nogueira,unclassified,60,False,460.035,"LINESTRING (-45.8604317 -23.2238122, -45.8567256 -23.2226719, -45.8566023 -23.2226433, -45.8565001 -23.2226387, -45.8561454 -23.2227145)",0.007531806615776081,,,
1446674033,1446674020,0,"[132234536, 448343875]",True,2,Rua Doutora Tânia Lis Tizzoni Nogueira,unclassified,60,False,10.091999999999999,"LINESTRING (-45.8604317 -23.2238122, -45.8604285 -23.2237897, -45.8604322 -23.2237673, -45.8604425 -23.2237467, -45.8604587 -23.2237295)",2.1810250817884406e-05,,roundabout,
1446674039,7808956271,0,312071892,True,,Avenida Brigadeiro Faria Lima,tertiary,60,False,133.724,"LINESTRING (-45.8558943 -23.2220035, -45.8558271 -23.2218338, -45.8552864 -23.2209407)",0.029520174482006542,0.9994801383131441,,
1446748353,3178886355,0,132120724,True,,Estrada Municipal Glaudistom P de Oliveira,secondary,,False,28.939999999999998,"LINESTRING (-45.8540412 -23.218797, -45.8539567 -23.2187587, -45.8538765 -23.2187224, -45.8537872 -23.2186819)",0.03423169335880468,0.9999425545444526,,
1446748353,1446670988,0,312071903,True,,Avenida dos Astronautas,secondary,60,False,62.684,"LINESTRING (-45.8540412 -23.218797, -45.8540229 -23.2187171, -45.8540063 -23.2185718, -45.8540107 -23.218366, -45.8540161 -23.2183007, -45.8540288 -23.2182371)",0.04107314020293887,,,
1446748354,1446748353,0,131460628,True,,,secondary_link,60,False,47.318,"LINESTRING (-45.8543345 -23.2185508, -45.8542678 -23.2187313, -45.8542306 -23.218768, -45.8542011 -23.2187908, -45.8541568 -23.2188013, -45.8541069 -23.2188053, -45.8540774 -23.2188047, -45.8540412 -23.218797)",0.053110479993344166,,,
1446748354,3178886345,0,312071893,True,,Avenida Brigadeiro Faria Lima,tertiary,60,False,230.83599999999998,"LINESTRING (-45.8543345 -23.2185508, -45.8543412 -23.2187417, -45.8543199 -23.2189354, -45.8543278 -23.2190869, -45.854373 -23.219231, -45.8544372 -23.2193522, -45.8551065 -23.2204448)",0.036561250454380224,0.9952348982529496,,
1446748371,1446748354,0,472739642,True,,Avenida dos Astronautas,secondary,60,False,32.785,"LINESTRING (-45.8543399 -23.2182562, -45.8543426 -23.2184275, -45.8543345 -23.2185508)",0.08965719028051246,,,
1446748375,1446674039,0,312071891,True,,,tertiary_link,,False,39.298,"LINESTRING (-45.8558256 -23.2223495, -45.8558619 -23.2222359, -45.8558868 -23.2221294, -45.8558943 -23.2220035)",0.006463104325699746,,,
