u,v,key,osmid,oneway,lanes,name,highway,reversed,length,ebc,vulnerability,geometry,maxspeed,bridge,ref,junction
1437659008,1437668199,0,472740728,True,2,Rua Ceci,secondary,False,28.246,0.0034006312905723304,0.9952473962704971,"LINESTRING (-45.8694539 -23.1927582, -45.869261 -23.1929401)",,,,
1437659009,1437659020,0,"[823472461, 823472462]",True,,Avenida Deputado Benedito Matarazzo,secondary,False,41.042,0.0017092490024417843,0.9980584510444765,"LINESTRING (-45.8694306 -23.193493, -45.8694113 -23.1935746, -45.8694054 -23.1936439, -45.8694313 -23.1936933, -45.8694728 -23.1937367, -45.8695602 -23.1938019)",,,,
1437659085,3191506442,0,"[448350906, 130573189, 130573191]",True,2,"['Rua Bahia', 'Avenida dos Astronautas']",secondary,False,275.173,0.023387529033410757,0.9646618417081188,"LINESTRING (-45.8671338 -23.1945142, -45.8672831 -23.1945023, -45.8674483 -23.1944578, -45.8675921 -23.194384, -45.8677063 -23.1942995, -45.8677677 -23.1942466, -45.8678264 -23.1941852, -45.8679329 -23.1940287, -45.868433 -23.19314, -45.8687061 -23.1926525)",60,yes,,
1437661738,1453962116,0,772037048,True,4,Avenida dos Astronautas,secondary,False,150.332,0.011797987016854267,0.9827128368297573,"LINESTRING (-45.8676265 -23.1947219, -45.8665464 -23.1956396)",60,,,
1437668168,1437661738,0,"[472740728, 772037049, 130573186]",True,2,"['Rua Ceci', 'Avenida dos Astronautas', 'Viaduto Bandeirante']",secondary,False,241.25,0.010130427014472039,,"LINESTRING (-45.8691192 -23.193067, -45.8686623 -23.1934896, -45.868381 -23.1939807, -45.8681862 -23.1942308, -45.8676265 -23.1947219)",60,yes,,
1437668193,8555407414,0,883151734,False,1,Rua Espirito Santo,residential,False,28.972,1.1911142874158776e-05,0.9974949988143849,"LINESTRING (-45.8690082 -23.1928182, -45.8687732 -23.1926725)",30,,,
1437668193,1437668168,0,130574166,True,1,Rua Espirito Santo,residential,False,30.088,0.0033827645762610926,,"LINESTRING (-45.8690082 -23.1928182, -45.8690507 -23.1928844, -45.8690788 -23.1929393, -45.8691008 -23.1930017, -45.8691192 -23.193067)",30,,,
1437668199,1437668193,0,130574171,True,1,Rua Espirito Santo,residential,False,29.178,1.7866714311238165e-05,,"LINESTRING (-45.869261 -23.1929401, -45.8690082 -23.1928182)",30,,,
1437668199,1437668168,0,472740728,True,2,Rua Ceci,secondary,False,20.228,0.005074146864391639,,"LINESTRING (-45.869261 -23.1929401, -45.8691192 -23.193067)",,,,
1437668208,1437668225,0,130574176,False,,Rua Acre,residential,False,62.536,0.011735453516764935,0.9983733745715316,"LINESTRING (-45.8676013 -23.1921144, -45.8672987 -23.1926032)",,,,
1437668208,1437681454,0,313245442,True,,Rua Espirito Santo,residential,False,53.74,0.0034184980048835687,0.9996165968796462,"LINESTRING (-45.8676013 -23.1921144, -45.8671394 -23.1918835)",,,,
1437668220,1437668225,0,130574175,False,,Avenida Deputado Benedito Matarazzo,residential,False,166.131,7.146685724495266e-05,0.9989682798803889,"LINESTRING (-45.8658661 -23.1918974, -45.8672987 -23.1926032)",,,,
1437668220,1437668258,0,130574179,True,,,motorway_link,False,108.967,0.006789351438270502,0.9850145243722205,"LINESTRING (-45.8658661 -23.1918974, -45.8658501 -23.19203, -45.8658864 -23.192145, -45.86597 -23.1922525, -45.8660876 -23.1923634, -45.8662386 -23.1924728, -45.8664561 -23.1926438)",,,,
1437668225,2061113644,0,130574175,False,,Avenida Deputado Benedito Matarazzo,residential,False,116.703,0.001694360073849086,0.9975935149822147,"LINESTRING (-45.8672987 -23.1926032, -45.8683009 -23.1931061)",,,,
1437668225,1437668220,0,130574175,False,,Avenida Deputado Benedito Matarazzo,residential,True,166.131,0.008412244654874635,,"LINESTRING (-45.8672987 -23.1926032, -45.8658661 -23.1918974)",,,,
1437668225,1437668208,0,130574176,False,,Rua Acre,residential,True,62.536,7.742242868203204e-05,,"LINESTRING (-45.8672987 -23.1926032, -45.8676013 -23.1921144)",,,,
1437668258,3179970424,0,772037038,True,4,Rodovia Presidente Dutra,motorway,False,254.502,0.0051098802930141145,0.9940581603474717,"LINESTRING (-45.8664561 -23.1926438, -45.8686602 -23.1937087)",100,,SP-060;BR-116,
1437681454,1437681456,0,130575666,False,,Praça Paraíba,residential,True,61.543,5.3600142933714494e-05,0.9998308629133938,"LINESTRING (-45.8671394 -23.1918835, -45.8674137 -23.1913908)",,,,
1437681454,1437681458,0,883200363,True,,Rua Espirito Santo,residential,False,59.652,0.0017658269310940385,0.9997109535621984,"LINESTRING (-45.8671394 -23.1918835, -45.866628 -23.191625)",,,,
1437681456,1437681454,0,130575666,False,,Praça Paraíba,residential,False,61.543,5.955571437079388e-05,,"LINESTRING (-45.8674137 -23.1913908, -45.8671394 -23.1918835)",,,,
1437681456,1437681460,0,130575669,False,,Rua Sergipe,residential,True,199.277,4.168900005955571e-05,0.999740798440848,"LINESTRING (-45.8674137 -23.1913908, -45.8691359 -23.1922309)",,,,
