u,v,key,osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,ebc,vulnerability,maxspeed,bridge,junction
1434365021,1439325091,0,"[772034128, 772034127]",True,"['3', '4']",SP-050,Avenida Senador Teotônio Vilela,trunk,False,488.87199999999996,"LINESTRING (-45.8784604 -23.1869712, -45.8782315 -23.1867133, -45.8778744 -23.1862382, -45.8777998 -23.186114, -45.8777288 -23.1859771, -45.8776123 -23.1857201, -45.8775249 -23.1854483, -45.8774514 -23.1851914, -45.8773975 -23.1849367, -45.877364 -23.1847271, -45.8773125 -23.1843208, -45.8771049 -23.1828483)",0.000754995842481653,0.9990366127353013,,,
1434769556,1434786538,0,"[838830603, 838830602, 472736203]",True,3,,Avenida Deputado Benedito Matarazzo,primary,False,245.49300000000002,"LINESTRING (-45.8745623 -23.1963241, -45.8751243 -23.196691, -45.8754687 -23.1969159, -45.8763072 -23.1974633, -45.8763454 -23.1974915, -45.8763657 -23.1975076, -45.8765156 -23.1976086)",0.028473095430343567,0.9943464607943101,"['40', '60']",,
1434769669,3179970425,0,772037054,True,3,SP-060;BR-116,Rodovia Presidente Dutra,motorway,False,403.206,"LINESTRING (-45.8715213 -23.1952891, -45.8705307 -23.1948043, -45.8694731 -23.1942867, -45.8680391 -23.193585)",0.0012625966084297787,0.9992948733629623,100,,
1434769703,1434769669,0,153736887,True,1,,Rodovia Pres Dutrabr 116,motorway,False,298.988,"LINESTRING (-45.8739872 -23.1967287, -45.8732972 -23.1962774, -45.871933 -23.1955648, -45.8715213 -23.1952891)",0.0005070076820184465,,,,
1434769703,1437661738,0,"[130573510, 772037055]",True,"['2', '1']",,,motorway_link,False,715.847,"LINESTRING (-45.8739872 -23.1967287, -45.870291 -23.1948369, -45.8697536 -23.194589, -45.8695373 -23.1945587, -45.8690354 -23.1945817, -45.8686307 -23.194576, -45.8681324 -23.1945507, -45.8679285 -23.1945761, -45.8676265 -23.1947219)",0.00024976741225224414,0.9994974355053742,60,,
1434786526,1434833247,0,448350600,True,3,,Avenida Deputado Benedito Matarazzo,primary,False,76.13,"LINESTRING (-45.8770966 -23.1980119, -45.8776672 -23.198452)",0.008210447965872017,0.9988247317049874,60,,
1434786538,1434786526,0,772037047,True,2,,Avenida Deputado Benedito Matarazzo,primary,False,74.412,"LINESTRING (-45.8765156 -23.1976086, -45.8770966 -23.1980119)",0.007725464043142333,,60,,
1434786538,1434875367,0,130175850,True,,,,secondary,False,45.708,"LINESTRING (-45.8765156 -23.1976086, -45.8766251 -23.1976417, -45.8767017 -23.1976378, -45.8767699 -23.1976075, -45.8768103 -23.1975419, -45.8768433 -23.1974576)",0.02075000372291995,0.9992443293129646,,,
1434786543,2905769452,0,789771648,True,,,Avenida Nair Toledo de Mira,secondary,False,19.039,"LINESTRING (-45.8754474 -23.1927313, -45.8754022 -23.1925652)",0.0016904999207504729,0.9999596345479537,,,
1434786543,2061127777,0,789771649,True,,,Rua Genésia Berardineli Tarantino,tertiary,False,30.431,"LINESTRING (-45.8754474 -23.1927313, -45.8752922 -23.1928854, -45.8752451 -23.1929321)",0.02078500461558044,0.9996097747633932,,,
1434786546,1437646813,0,130571658,True,,,,secondary_link,False,30.985,"LINESTRING (-45.8738027 -23.1891115, -45.8737252 -23.1890512, -45.8736641 -23.1890156, -45.8736086 -23.1889851, -45.8735531 -23.1889547)",0.001375644053845017,0.9999792544820166,,,
1434786546,1437650668,0,448345142,True,,,Avenida Santos Dumont,secondary,False,32.705999999999996,"LINESTRING (-45.8738027 -23.1891115, -45.8737059 -23.1889094, -45.8736688 -23.1888445)",0.002124030527299522,0.9998093696410167,,,
1434786547,2905769448,0,130571663,True,3,,Avenida Santos Dumont,secondary,False,99.864,"LINESTRING (-45.8736854 -23.1886102, -45.873755 -23.1886854, -45.8738029 -23.1887501, -45.8738356 -23.1888, -45.8738726 -23.1888772, -45.874129 -23.1894055)",0.012735256193051202,0.9995752962224147,50,,
1434786547,1437650668,0,130572197,True,,,,secondary_link,False,26.683999999999997,"LINESTRING (-45.8736854 -23.1886102, -45.8736989 -23.1887259, -45.8736972 -23.1887786, -45.8736688 -23.1888445)",0.007201571420259837,0.9999462156965689,,,
1434786551,2905769452,0,286900439,True,,,Avenida Nair Toledo de Mira,secondary,False,16.467,"LINESTRING (-45.8755552 -23.1926116, -45.8754022 -23.1925652)",0.005644062973897362,0.9999000911914482,,,
1434786551,1437641681,0,313224440,True,,,Avenida Santos Dumont,secondary,False,53.480999999999995,"LINESTRING (-45.8755552 -23.1926116, -45.8756019 -23.1930047, -45.8756041 -23.1930902)",0.003618775766139719,0.9997457276465794,,,
1434786551,1434786543,0,973344588,True,,,Rua Genésia Berardineli Tarantino,secondary,False,17.279,"LINESTRING (-45.8755552 -23.1926116, -45.8754639 -23.192712, -45.8754474 -23.1927313)",0.0202307920149436,,,,
1434786552,8230948114,0,885100702,False,,,Avenida Samuel Wainer,secondary,True,15.644,"LINESTRING (-45.8756332 -23.1933201, -45.8755928 -23.1931844)",0.02831959861748095,0.9997866372707506,60,,
1434786552,1434870722,0,249535523,False,,,Avenida Samuel Wainer,secondary,False,310.029,"LINESTRING (-45.8756332 -23.1933201, -45.8759402 -23.1943723, -45.8759973 -23.1945635, -45.8760077 -23.1946001, -45.8760662 -23.1948062, -45.8761836 -23.1952089, -45.8762048 -23.1952817, -45.8763624 -23.195839, -45.8763965 -23.195958, -45.8764127 -23.1960146)",0.0026788491795057224,0.9971319909483589,60,,
1434833247,8227243170,0,448350600,True,3,,Avenida Deputado Benedito Matarazzo,primary,False,25.578,"LINESTRING (-45.8776672 -23.198452, -45.877853 -23.1986061)",0.0034878359557115645,0.9997490757696005,60,,
1434833247,1434874912,0,310604881,True,,,Rua Estocolmo,tertiary,False,21.319,"LINESTRING (-45.8776672 -23.198452, -45.8777952 -23.1984241, -45.8778672 -23.1983989)",0.004724984345879168,0.9998733834853477,,,
1434833255,8878247113,0,665672388,True,,,Avenida Lisboa,tertiary,False,6.243,"LINESTRING (-45.8791968 -23.1983907, -45.8791361 -23.198397)",0.0016149650816770598,0.9999402842479076,,,
