u,v,key,osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ebc,name,bridge,ref,tunnel,width,access,junction
587993,459347433,0,"[780219126, 38738766]",True,"['3', '2']",trunk_link,40,False,152.679,"LINESTRING (-46.6382561 -23.55821, -46.6381514 -23.5581341, -46.6380828 -23.5580823, -46.6380256 -23.5580119, -46.6379741 -23.5579463, -46.6379195 -23.5578317, -46.6378761 -23.5577234, -46.6375881 -23.5570105)",0.0007930790982308562,,,,,,,
587993,176011687,0,"[252274186, 524259148, 524259149]",True,5,trunk,60,False,298.798,"LINESTRING (-46.6382561 -23.55821, -46.6379244 -23.5573847, -46.6375529 -23.5564604, -46.6373262 -23.5558954, -46.6372986 -23.5558267, -46.6372329 -23.5556922)",0.0015266089185517143,Avenida Vinte e Três de Maio,,,,,,
597282,130009702,0,"[944406432, 8213521, 858017730]",True,"['1', '2']",trunk_link,40,False,511.15900000000005,"LINESTRING (-46.6261325 -23.5510876, -46.626125 -23.5509374, -46.6261146 -23.5508726, -46.6260986 -23.5508246, -46.6260785 -23.550789, -46.6260342 -23.5507404, -46.6259842 -23.5507037, -46.6259211 -23.5506716, -46.6258644 -23.5506566, -46.6257943 -23.5506525, -46.6257115 -23.5506665, -46.6256482 -23.5506896, -46.625601 -23.5507189, -46.6255601 -23.5507507, -46.6255227 -23.5507917, -46.625503 -23.5508329, -46.6254773 -23.5509171, -46.6254744 -23.5509897, -46.6254986 -23.5510949, -46.6255686 -23.5512482, -46.6258813 -23.5518567, -46.6261851 -23.5524689, -46.6263135 -23.5527344, -46.6265251 -23.5531863, -46.6269036 -23.5539279, -46.6269465 -23.5540321, -46.6269934 -23.5541793)",0.010655355878652253,Viaduto do Rio Tamanduateí,yes,,,,,
597282,25872025,0,"[944404757, 974489742]",True,2,trunk,50,False,121.232,"LINESTRING (-46.6261325 -23.5510876, -46.6263325 -23.5506556, -46.6264025 -23.5505044, -46.6264968 -23.5503526, -46.6266488 -23.5501074)",0.0244764080304402,Avenida do Estado,,,,,,
597283,445043546,0,37916481,True,,residential,20,False,78.114,"LINESTRING (-46.6252641 -23.5533268, -46.625198 -23.5531056, -46.6250992 -23.5526412)",0.00012709476939096298,Rua da Figueira,,,,,,
597283,25871833,0,1080789231,True,3,primary,50,False,123.645,"LINESTRING (-46.6252641 -23.5533268, -46.6253476 -23.5531568, -46.6254012 -23.553051, -46.6254468 -23.5529601, -46.6254938 -23.5528494, -46.625526 -23.5527609, -46.6255604 -23.5526485, -46.6255814 -23.5525341, -46.6256216 -23.5522727)",0.042294334408593724,Avenida do Estado,,,,,,
25871539,445043156,0,34436963,True,2,residential,,False,80.72200000000001,"LINESTRING (-46.6222841 -23.5560493, -46.6223375 -23.5555713, -46.6223676 -23.5553274)",0.002458471585090987,Rua Luís Gama,,,,,,
25871539,396034445,0,1080789231,True,3,primary,50,False,229.75300000000001,"LINESTRING (-46.6222841 -23.5560493, -46.622537 -23.5559345, -46.6225934 -23.5559023, -46.6227531 -23.5558111, -46.6230883 -23.5556203, -46.6235255 -23.5553175, -46.6236597 -23.5552091, -46.62387 -23.5550407, -46.6240972 -23.5548386)",0.017504939613918916,Avenida do Estado,,,,,,
25871670,25871831,0,15260247,True,2,trunk,,False,52.218999999999994,"LINESTRING (-46.6257511 -23.5523785, -46.6257499 -23.5521893, -46.6257509 -23.552054, -46.6257432 -23.5519744, -46.6257308 -23.5519102)",0.0004222291364111514,Rua da Figueira,,,,,,
25871670,25872025,0,"[923545472, 945278713]",True,2,trunk,50,False,268.772,"LINESTRING (-46.6257511 -23.5523785, -46.6257861 -23.5522728, -46.6258673 -23.5520574, -46.6263177 -23.5509519, -46.6265023 -23.5505521, -46.6266488 -23.5501074)",0.00022183088799723405,Avenida do Estado,,BR-050,,,,
25871831,597282,0,"[1189377203, 183489030]",True,3,trunk,50,False,100.219,"LINESTRING (-46.6257308 -23.5519102, -46.6258392 -23.5516803, -46.6261325 -23.5510876)",0.035142596032838605,Avenida do Estado,,,,,,
25871831,151239264,0,944826127,True,1,primary,,False,51.848,"LINESTRING (-46.6257308 -23.5519102, -46.6256938 -23.5518235, -46.6255187 -23.5514866)",0.00019855960124921755,Rua da Figueira,,,,,,
25871833,151239264,0,15260284,True,1,primary,,False,88.25999999999999,"LINESTRING (-46.6256216 -23.5522727, -46.6256086 -23.5519887, -46.6255952 -23.5518488, -46.625577 -23.5517392, -46.6255187 -23.5514866)",0.007353743663424685,Rua da Figueira,,,,,,
25871833,25871831,0,183489030,True,3,trunk,50,False,41.821,"LINESTRING (-46.6256216 -23.5522727, -46.6256778 -23.5520764, -46.6257308 -23.5519102)",0.03492975862142285,Avenida do Estado,,,,,,
25872025,6595269581,0,"[945278712, 974488538, 186371501]",True,"['4', '3']",trunk,50,False,866.2439999999999,"LINESTRING (-46.6266488 -23.5501074, -46.6268808 -23.5496575, -46.6268953 -23.5496294, -46.6271058 -23.5492196, -46.6274451 -23.5487288, -46.6277288 -23.5482796, -46.6280386 -23.5477637, -46.6282138 -23.5473878, -46.6284581 -23.5467998, -46.6286116 -23.5462412, -46.6287575 -23.5455225, -46.6288187 -23.5451344, -46.6288696 -23.5442792, -46.6288315 -23.5437331, -46.6286944 -23.5430398, -46.62867 -23.5429187, -46.6286381 -23.5427706)",0.02468740679469125,Avenida do Estado,,BR-050,,,,
25872075,1420146737,0,8375715,True,4,primary,50,False,181.78199999999998,"LINESTRING (-46.6286296 -23.5481997, -46.6284281 -23.5484814, -46.6283289 -23.5486362, -46.6282819 -23.5487543, -46.6282484 -23.5488821, -46.6282296 -23.5490273, -46.6282263 -23.5491593, -46.6282383 -23.5497422)",0.07685567809250743,Avenida do Estado,,,,,,
25872075,4902214144,0,"[1031685924, 945561098, 945561099, 945561100, 945561101, 333520062]",True,"['3', '1', '2']",trunk,50,False,649.536,"LINESTRING (-46.6286296 -23.5481997, -46.6284429 -23.5483818, -46.6283208 -23.548517, -46.6282149 -23.5486559, -46.6279931 -23.5489777, -46.6275628 -23.5496502, -46.6273673 -23.5499944, -46.6272893 -23.5501333, -46.6270733 -23.5505515, -46.6269196 -23.550886, -46.6266321 -23.5515787, -46.6264567 -23.5520841, -46.6263682 -23.5523466, -46.6262837 -23.5525544, -46.6262133 -23.5526816, -46.6259873 -23.5530006, -46.6257161 -23.5533456)",0.0004280569456781029,Avenida do Estado,,BR-050,,,,
25872212,25872075,0,"[909387488, 909387494]",True,"['4', '5']",trunk,50,False,278.49199999999996,"LINESTRING (-46.6301486 -23.5461204, -46.6296407 -23.5468368, -46.6291596 -23.547551, -46.6288493 -23.5479469, -46.6286296 -23.5481997)",0.07729456716193171,Avenida do Estado,,BR-050,,,,
25872232,25872212,0,909387495,True,3,trunk,50,False,196.38,"LINESTRING (-46.6297656 -23.5444987, -46.6301094 -23.544975, -46.630165 -23.5450763, -46.6302077 -23.5451656, -46.630243 -23.5452747, -46.6302958 -23.5455661, -46.6302695 -23.5457912, -46.6302515 -23.5458776, -46.6301955 -23.5460135, -46.6301486 -23.5461204)",0.05342000291280249,Avenida do Estado,,BR-050,,,,
