u,v,key,osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ebc,name,bridge,ref,tunnel,width,access,junction,est_width
587993,459347433,0,"[780219126, 38738766]",True,"['3', '2']",trunk_link,40,False,152.679,"LINESTRING (-46.6382561 -23.55821, -46.6381514 -23.5581341, -46.6380828 -23.5580823, -46.6380256 -23.5580119, -46.6379741 -23.5579463, -46.6379195 -23.5578317, -46.6378761 -23.5577234, -46.6375881 -23.5570105)",0.010456223286624254,,,,,,,,
587993,176011687,0,"[252274186, 524259148, 524259149]",True,5,trunk,60,False,298.798,"LINESTRING (-46.6382561 -23.55821, -46.6379244 -23.5573847, -46.6375529 -23.5564604, -46.6373262 -23.5558954, -46.6372986 -23.5558267, -46.6372329 -23.5556922)",0.0314378067577691,Avenida Vinte e Três de Maio,,,,,,,
597282,130009702,0,"[944406432, 8213521, 858017730]",True,"['1', '2']",trunk_link,40,False,511.15900000000005,"LINESTRING (-46.6261325 -23.5510876, -46.626125 -23.5509374, -46.6261146 -23.5508726, -46.6260986 -23.5508246, -46.6260785 -23.550789, -46.6260342 -23.5507404, -46.6259842 -23.5507037, -46.6259211 -23.5506716, -46.6258644 -23.5506566, -46.6257943 -23.5506525, -46.6257115 -23.5506665, -46.6256482 -23.5506896, -46.625601 -23.5507189, -46.6255601 -23.5507507, -46.6255227 -23.5507917, -46.625503 -23.5508329, -46.6254773 -23.5509171, -46.6254744 -23.5509897, -46.6254986 -23.5510949, -46.6255686 -23.5512482, -46.6258813 -23.5518567, -46.6261851 -23.5524689, -46.6263135 -23.5527344, -46.6265251 -23.5531863, -46.6269036 -23.5539279, -46.6269465 -23.5540321, -46.6269934 -23.5541793)",0.017831101656110855,Viaduto do Rio Tamanduateí,yes,,,,,,
597282,25872025,0,"[944404757, 974489742]",True,2,trunk,50,False,121.232,"LINESTRING (-46.6261325 -23.5510876, -46.6263325 -23.5506556, -46.6264025 -23.5505044, -46.6264968 -23.5503526, -46.6266488 -23.5501074)",0.0246737380136516,Avenida do Estado,,,,,,,
597283,445043546,0,37916481,True,,residential,20,False,78.114,"LINESTRING (-46.6252641 -23.5533268, -46.625198 -23.5531056, -46.6250992 -23.5526412)",0.00010644147235106593,Rua da Figueira,,,,,,,
597283,25871833,0,1080789231,True,3,primary,50,False,123.645,"LINESTRING (-46.6252641 -23.5533268, -46.6253476 -23.5531568, -46.6254012 -23.553051, -46.6254468 -23.5529601, -46.6254938 -23.5528494, -46.625526 -23.5527609, -46.6255604 -23.5526485, -46.6255814 -23.5525341, -46.6256216 -23.5522727)",0.047670937845660816,Avenida do Estado,,,,,,,
20944550,1997444090,0,27238811,True,,residential,,False,120.212,"LINESTRING (-46.6535506 -23.5372021, -46.6535859 -23.5372981, -46.6536037 -23.5373522, -46.6538773 -23.5381846, -46.6538943 -23.5382362)",0.0006466811079145945,Rua Barão de Tatuí,,,,,,,
20944550,457551668,0,230629156,True,2,tertiary,,False,242.181,"LINESTRING (-46.6535506 -23.5372021, -46.6534786 -23.5372477, -46.6534645 -23.5372587, -46.6526398 -23.5379005, -46.6518463 -23.538521, -46.651736 -23.5386072)",0.0119067232942656,Alameda Barros,,,,,,,
20944551,20944552,0,8307075,False,,residential,,False,164.142,"LINESTRING (-46.6513228 -23.538894, -46.6513463 -23.5389693, -46.6517558 -23.5402497, -46.6517752 -23.5403107)",0.00041208244058137117,Rua Fortunato,,,,,,,
20944551,158844513,0,914039011,True,2,tertiary,,False,135.69,"LINESTRING (-46.6513228 -23.538894, -46.6502894 -23.539597, -46.6502532 -23.5396203)",0.01234838239374774,Rua Frederico Abranches,,,,,,,
