osmid,y,x,street_count,com,highway,ref,geometry
587993,-23.55821,-46.6382561,3,0.0072890155738544946,,,POINT (-46.6382561 -23.55821)
597282,-23.5510876,-46.6261325,3,0.008531556512175046,,,POINT (-46.6261325 -23.5510876)
597283,-23.5533268,-46.6252641,4,0.011071748289216091,traffic_signals,,POINT (-46.6252641 -23.5533268)
597426,-23.5252524,-46.6253024,3,0.010185227346896718,,,POINT (-46.6253024 -23.5252524)
20944550,-23.5372021,-46.6535506,4,0.014510426969956022,traffic_signals,,POINT (-46.6535506 -23.5372021)
20944551,-23.538894,-46.6513228,3,0.011138048940639848,,,POINT (-46.6513228 -23.538894)
20944552,-23.5403107,-46.6517752,4,0.012837354602094312,,,POINT (-46.6517752 -23.5403107)
20944553,-23.5400651,-46.6526531,3,0.011849156662401009,,,POINT (-46.6526531 -23.5400651)
20944554,-23.5416139,-46.6531738,4,0.014949158580644311,traffic_signals,,POINT (-46.6531738 -23.5416139)
20944556,-23.5477074,-46.6552234,4,0.013892740788165022,traffic_signals,,POINT (-46.6552234 -23.5477074)
25778140,-23.52377,-46.6115037,3,0.003156151449791607,,,POINT (-46.6115037 -23.52377)
25778144,-23.5240816,-46.6101309,3,0.0034665803270798683,,,POINT (-46.6101309 -23.5240816)
25870718,-23.5646175,-46.6111634,4,0.011357155213289572,traffic_signals,,POINT (-46.6111634 -23.5646175)
25870742,-23.5634708,-46.6112995,4,0.013127827301070458,traffic_signals,,POINT (-46.6112995 -23.5634708)
25870836,-23.5635176,-46.6113811,4,0.01367194358752617,traffic_signals,,POINT (-46.6113811 -23.5635176)
25870857,-23.5593666,-46.6139407,3,0.006327553782533483,,,POINT (-46.6139407 -23.5593666)
25871539,-23.5560493,-46.6222841,3,0.007861623321420435,,,POINT (-46.6222841 -23.5560493)
25871670,-23.5523785,-46.6257511,3,0.009915697159257714,,,POINT (-46.6257511 -23.5523785)
25871831,-23.5519102,-46.6257308,4,0.011214773996521363,traffic_signals,,POINT (-46.6257308 -23.5519102)
25871833,-23.5522727,-46.6256216,3,0.009511394042369104,,,POINT (-46.6256216 -23.5522727)
25872025,-23.5501074,-46.6266488,3,0.00848243641469812,,,POINT (-46.6266488 -23.5501074)
25872075,-23.5481997,-46.6286296,3,0.007485863005455587,,,POINT (-46.6286296 -23.5481997)
25872212,-23.5461204,-46.6301486,3,0.007908956138424602,,,POINT (-46.6301486 -23.5461204)
25872232,-23.5444987,-46.6297656,3,0.008377561898974914,,,POINT (-46.6297656 -23.5444987)
25872236,-23.5448763,-46.6305184,3,0.009260779790941509,,,POINT (-46.6305184 -23.5448763)
25872254,-23.5428224,-46.6291191,3,0.00918675049033958,,,POINT (-46.6291191 -23.5428224)
25872264,-23.5436253,-46.6297566,4,0.012689411736083163,traffic_signals,,POINT (-46.6297566 -23.5436253)
25872274,-23.5394006,-46.6271577,4,0.015306610655330954,traffic_signals,,POINT (-46.6271577 -23.5394006)
25872723,-23.5332714,-46.6254827,3,0.009009948486678401,,,POINT (-46.6254827 -23.5332714)
25872726,-23.5330563,-46.6255492,3,0.010393533543070871,,,POINT (-46.6255492 -23.5330563)
25872749,-23.5320811,-46.6259967,4,0.013234549682641218,traffic_signals,,POINT (-46.6259967 -23.5320811)
25872763,-23.5316319,-46.6257805,4,0.012307716076552701,crossing,,POINT (-46.6257805 -23.5316319)
25872766,-23.5326836,-46.6252162,3,0.009120197110117655,,,POINT (-46.6252162 -23.5326836)
25875892,-23.5287456,-46.6312713,3,0.009197489788785738,,,POINT (-46.6312713 -23.5287456)
25875912,-23.52485,-46.6297992,3,0.005135235405027172,,,POINT (-46.6297992 -23.52485)
25908745,-23.5236755,-46.6309494,3,0.004753061809374709,,,POINT (-46.6309494 -23.5236755)
25927014,-23.5254031,-46.6312275,3,0.00629271475472322,,,POINT (-46.6312275 -23.5254031)
25927015,-23.5266085,-46.6313508,3,0.007666892377584728,,,POINT (-46.6313508 -23.5266085)
25927018,-23.5264105,-46.6310338,3,0.009672573165493786,,,POINT (-46.6310338 -23.5264105)
25927315,-23.5275121,-46.6314845,3,0.0071541133497441045,,,POINT (-46.6314845 -23.5275121)
25927318,-23.5279337,-46.6312772,3,0.010473921004465142,,,POINT (-46.6312772 -23.5279337)
25928248,-23.530254,-46.6317405,3,0.008756579233239378,,,POINT (-46.6317405 -23.530254)
25928388,-23.534495,-46.6330324,3,0.008920963852161238,,,POINT (-46.6330324 -23.534495)
25928438,-23.5352466,-46.6337902,3,0.00778827759595922,,,POINT (-46.6337902 -23.5352466)
25928439,-23.5352713,-46.6331286,3,0.007675197866711774,,,POINT (-46.6331286 -23.5352713)
25928614,-23.5353735,-46.6331395,3,0.008091945341818748,,,POINT (-46.6331395 -23.5353735)
25928755,-23.5414795,-46.634182,4,0.011288717142612132,,,POINT (-46.634182 -23.5414795)
25928842,-23.5468886,-46.6377089,3,0.0076414299797472555,,,POINT (-46.6377089 -23.5468886)
25928939,-23.549578,-46.6385434,3,0.007595263738834134,,,POINT (-46.6385434 -23.549578)
25928961,-23.5481572,-46.6387749,3,0.007257708176999211,,,POINT (-46.6387749 -23.5481572)
25928964,-23.5493388,-46.6387877,3,0.0075507990823895765,,,POINT (-46.6387877 -23.5493388)
25929039,-23.5548213,-46.6371573,3,0.007338271428126422,,,POINT (-46.6371573 -23.5548213)
25929410,-23.5579874,-46.6385024,3,0.007352232943389139,,,POINT (-46.6385024 -23.5579874)
25929413,-23.5587907,-46.6388079,3,0.007504524493765171,,,POINT (-46.6388079 -23.5587907)
25929414,-23.5590528,-46.6385968,3,0.007147097427911671,,,POINT (-46.6385968 -23.5590528)
25929616,-23.5659574,-46.6408524,3,0.005637131309474432,,,POINT (-46.6408524 -23.5659574)
60609692,-23.5620582,-46.6558638,4,0.01502798946030198,traffic_signals,,POINT (-46.6558638 -23.5620582)
60609697,-23.5619455,-46.6557503,4,0.01332251066103278,traffic_signals,,POINT (-46.6557503 -23.5619455)
60609753,-23.5637843,-46.6576459,4,0.00558944053646638,traffic_signals,,POINT (-46.6576459 -23.5637843)
60609766,-23.5629117,-46.6567507,4,0.011128384731763193,traffic_signals,,POINT (-46.6567507 -23.5629117)
