osmid,y,x,highway,street_count,dc,cc,nbc,com,ref,geometry
582438,-23.528187,-46.6619198,traffic_signals,4,0.0008424599831508004,0.023384672594829743,0.0008360705394583642,0.007094676811625936,,POINT (-46.6619198 -23.528187)
587993,-23.55821,-46.6382561,,3,0.0008424599831508004,0.03026241960783735,0.037232181928059174,0.005709436829775965,,POINT (-46.6382561 -23.55821)
597269,-23.5689779,-46.608044,traffic_signals,4,0.0011232799775344005,0.030217808949231897,0.0038387146647987404,0.008184588234793344,,POINT (-46.608044 -23.5689779)
597270,-23.5685427,-46.6078851,traffic_signals,4,0.0011232799775344005,0.029421709621325787,0.006386682475245883,0.009888294638979292,,POINT (-46.6078851 -23.5685427)
597282,-23.5510876,-46.6261325,,3,0.0008424599831508004,0.03430342901462801,0.0838646935179431,0.006605784569094695,,POINT (-46.6261325 -23.5510876)
597283,-23.5533268,-46.6252641,traffic_signals,4,0.0011232799775344005,0.030650032407959348,0.017983240215611363,0.008532423495592271,,POINT (-46.6252641 -23.5533268)
597426,-23.5252524,-46.6253024,,3,0.0008424599831508004,0.033643135487292225,0.002726241524126855,0.008671423181012258,,POINT (-46.6253024 -23.5252524)
597434,-23.5230076,-46.6129726,motorway_junction,3,0.0008424599831508004,0.022577994253740918,0.0035150538341414683,0.005418190320243662,,POINT (-46.6129726 -23.5230076)
597437,-23.5241424,-46.6086344,,3,0.0008424599831508004,0.02068255431067652,0.0015247340684350192,0.00545785268625945,,POINT (-46.6086344 -23.5241424)
20944547,-23.5321244,-46.6587483,traffic_signals,4,0.0011232799775344005,0.02600075835324364,0.014929417831231504,0.012209926888883766,,POINT (-46.6587483 -23.5321244)
20944548,-23.534842,-46.6601022,traffic_signals,4,0.0016849199663016008,0.025854371479964555,0.004568473975828925,0.010604720283780397,,POINT (-46.6601022 -23.534842)
20944550,-23.5372021,-46.6535506,traffic_signals,4,0.0011232799775344005,0.0277349192922329,0.0025012895376968964,0.01123614439537244,,POINT (-46.6535506 -23.5372021)
20944551,-23.538894,-46.6513228,,3,0.0011232799775344005,0.028884753305978093,0.0004492640133125489,0.008584500826029223,,POINT (-46.6513228 -23.538894)
20944552,-23.5403107,-46.6517752,,4,0.0014040999719180005,0.029614778228090503,0.001138633137301037,0.009894299561719102,,POINT (-46.6517752 -23.5403107)
20944553,-23.5400651,-46.6526531,,3,0.0008424599831508004,0.028744697144484327,0.0008912764274990995,0.00913866053394971,,POINT (-46.6526531 -23.5400651)
20944554,-23.5416139,-46.6531738,traffic_signals,4,0.0011232799775344005,0.02892624980205254,0.000631688530715649,0.0115429001003165,,POINT (-46.6531738 -23.5416139)
20944556,-23.5477074,-46.6552234,traffic_signals,4,0.0011232799775344005,0.029731996329929095,0.008167668708674395,0.011957903696102634,,POINT (-46.6552234 -23.5477074)
25777925,-23.5207514,-46.6433446,,3,0.0008424599831508004,0.025357864893801037,0.000730572088229335,0.0072461010518319255,,POINT (-46.6433446 -23.5207514)
25777928,-23.5208924,-46.6426901,,3,0.0008424599831508004,0.02741737032143851,0.00783612990241988,0.007600866269150711,,POINT (-46.6426901 -23.5208924)
25778039,-23.5199594,-46.626918,,3,0.0005616399887672002,0.0,0.0,0.002817047489948287,,POINT (-46.626918 -23.5199594)
25778049,-23.5200626,-46.6225851,,3,0.0005616399887672002,0.027324655685732866,0.0,0.0034006477692379365,,POINT (-46.6225851 -23.5200626)
25778134,-23.5218113,-46.6141929,,3,0.0005616399887672002,0.0003744266591781335,1.577640417885394e-07,0.0021614874495923166,,POINT (-46.6141929 -23.5218113)
25778137,-23.5232174,-46.6126896,,3,0.0008424599831508004,0.022069287605077308,0.0027132443857581815,0.005780939429546376,,POINT (-46.6126896 -23.5232174)
25778140,-23.52377,-46.6115037,,3,0.0008424599831508004,0.021213388658695667,0.00047629878245725974,0.005690534812467276,,POINT (-46.6115037 -23.52377)
25778144,-23.5240816,-46.6101309,,3,0.0008424599831508004,0.020763830144824934,0.00047661431054083706,0.005774251368618272,,POINT (-46.6101309 -23.5240816)
25778147,-23.5241708,-46.6089591,,3,0.0008424599831508004,0.02112895608146623,0.001524418540351446,0.005515935564330034,,POINT (-46.6089591 -23.5241708)
25783030,-23.5219155,-46.6056686,,3,0.0005616399887672002,0.0,0.0,0.0028667897598936226,,POINT (-46.6056686 -23.5219155)
25783050,-23.5224308,-46.609309,motorway_junction,3,0.0008424599831508004,0.0011430560334769076,0.004676402285685438,0.006307394827871095,,POINT (-46.609309 -23.5224308)
25783146,-23.5218114,-46.6115765,,3,0.0008424599831508004,0.02098820845107325,0.007544097786902565,0.005344134568347132,,POINT (-46.6115765 -23.5218114)
25870718,-23.5646175,-46.6111634,traffic_signals,4,0.0011232799775344005,0.03431484458033213,0.011105348506236798,0.009868288258511161,,POINT (-46.6111634 -23.5646175)
25870742,-23.5634708,-46.6112995,traffic_signals,4,0.0011232799775344005,0.034192438106934904,0.016700528964351213,0.01047142684732399,,POINT (-46.6112995 -23.5634708)
25870836,-23.5635176,-46.6113811,traffic_signals,4,0.0011232799775344005,0.035362922815942374,0.1258965208907647,0.010637957318399907,,POINT (-46.6113811 -23.5635176)
