u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ebc,geometry,junction,ref,bridge
1437661738,1453962116,0,772037048,True,4,Avenida dos Astronautas,secondary,60,False,150.332,0.0018621582834540936,"LINESTRING (-45.8676265 -23.1947219, -45.8665464 -23.1956396)",,,
1446670972,1437659085,0,448350906,True,2,Avenida dos Astronautas,secondary,60,False,153.286,0.001858657985928804,"LINESTRING (-45.8658229 -23.1949238, -45.8659978 -23.1947089, -45.8661647 -23.1945881, -45.8661788 -23.1945779, -45.8663895 -23.1944934, -45.8666181 -23.1944743, -45.8668631 -23.1945028, -45.8668763 -23.1945043, -45.8671338 -23.1945142)",,,
1446670972,6193276640,0,772037050,True,2,,motorway_link,60,False,85.16,0.009649417422703149,"LINESTRING (-45.8658229 -23.1949238, -45.8659128 -23.1944682, -45.8660153 -23.1941804)",,,
1446670988,1454021673,0,312071903,True,,Avenida dos Astronautas,secondary,60,False,222.525,0.059004352496035854,"LINESTRING (-45.8540288 -23.2182371, -45.8541801 -23.2178618, -45.8542699 -23.2177099, -45.8545876 -23.2172996, -45.8552113 -23.2165742)",,,
1446670988,1446748371,0,312135006,True,,,secondary_link,60,False,40.15,0.024762271459740744,"LINESTRING (-45.8540288 -23.2182371, -45.8540791 -23.2181952, -45.8541076 -23.2181764, -45.8541706 -23.2181496, -45.8542276 -23.2181493, -45.8542762 -23.2181801, -45.8543399 -23.2182562)",,,
1446670989,1454044981,0,312071903,True,,Avenida dos Astronautas,secondary,60,False,46.913,0.0076174250414326235,"LINESTRING (-45.8569489 -23.2140414, -45.8570612 -23.2138016, -45.8570954 -23.2137139, -45.8571112 -23.2136478)",,,
1446670989,3178889265,0,312071905,True,,Rua Professor Waldemar Ramos,residential,,False,24.064,0.0032082794121069736,"LINESTRING (-45.8569489 -23.2140414, -45.8569012 -23.2140587, -45.8568374 -23.2140591, -45.8567784 -23.2140421, -45.85673 -23.2140118)",,,
1446671002,2143249780,0,132121238,True,,Avenida Doutor Amin Simão,tertiary,60,False,38.96,0.0028107389128075888,"LINESTRING (-45.8560897 -23.2230937, -45.8560427 -23.222746)",,,
1446671002,1446674016,0,312071894,True,,,tertiary_link,,False,46.416000000000004,0.002730232069725927,"LINESTRING (-45.8560897 -23.2230937, -45.8560436 -23.2230173, -45.8560194 -23.2229217, -45.8559642 -23.222808, -45.8559424 -23.2227763, -45.8558953 -23.2227214)",,,
1446671007,1453987215,0,312071903,True,,Avenida dos Astronautas,secondary,60,False,130.267,0.15777224122697894,"LINESTRING (-45.8575321 -23.208997, -45.8581212 -23.2082652, -45.8582902 -23.2080552)",,,
1446671010,4453703041,0,448342048,True,,Avenida dos Astronautas,secondary,60,False,41.732,0.0045340826192448586,"LINESTRING (-45.8639063 -23.2000514, -45.8640778 -23.1997108)",,,
1446671010,4453703042,0,885507245,True,,Rua Raul Franco Martins,residential,,False,52.384,0.004849334415647555,"LINESTRING (-45.8639063 -23.2000514, -45.8639072 -23.1997227, -45.8639296 -23.1995818)",,,
1446671013,3178886355,0,132120725,True,,,secondary_link,,False,70.983,0.014595073914616083,"LINESTRING (-45.854189 -23.2192006, -45.8541072 -23.2190992, -45.8540093 -23.2189563, -45.8539526 -23.2188753, -45.8539329 -23.2188472, -45.8538893 -23.2187843, -45.8538397 -23.2187319, -45.8538226 -23.2187153, -45.8537872 -23.2186819)",,,
1446671013,1446748353,0,312071892,True,,Avenida Brigadeiro Faria Lima,tertiary,60,False,47.435,0.021450990000816725,"LINESTRING (-45.854189 -23.2192006, -45.8540928 -23.2189772, -45.8540697 -23.2188966, -45.8540412 -23.218797)",,,
1446671015,1453969499,0,132113622,False,,Rua Avião Ipanema,residential,,False,87.42,0.007884385612892574,"LINESTRING (-45.8612975 -23.203508, -45.8606957 -23.2029493)",,,
1446671015,1453969576,0,448342028,True,,Avenida dos Astronautas,secondary,60,False,177.45100000000002,0.07485563512778581,"LINESTRING (-45.8612975 -23.203508, -45.8613666 -23.203219, -45.8614599 -23.2028635, -45.8616347 -23.202485, -45.8618354 -23.2021928, -45.8619612 -23.2020581)",,,
1446671018,1453987139,0,310701931,False,,Rua Orion,residential,,False,93.618,0.01860718494926614,"LINESTRING (-45.8605262 -23.2055917, -45.8599962 -23.204905)",,,
1446671018,3161589327,0,448342052,True,,Avenida dos Astronautas,secondary,60,False,21.834,0.12945176919070497,"LINESTRING (-45.8605262 -23.2055917, -45.8605868 -23.2055426, -45.8606704 -23.2054477)",,,
1446671019,1446671010,0,448342025,True,,Avenida dos Astronautas,secondary,60,False,40.392,0.0093869173324177,"LINESTRING (-45.8636959 -23.2003589, -45.8639063 -23.2000514)",,,
1446671022,1454044978,0,132121716,False,,Rua Chackler Elhage,residential,,False,59.529,0.0010329198494692564,"LINESTRING (-45.8569899 -23.2107427, -45.8569067 -23.210743, -45.8564079 -23.2107636)",,,
1446671022,1454044940,0,312071903,True,,Avenida dos Astronautas,secondary,60,False,55.304,0.05884929188008848,"LINESTRING (-45.8569899 -23.2107427, -45.8569819 -23.2104375, -45.8569805 -23.2103828, -45.8569939 -23.210246)",,,
1446671027,1446670972,0,772037051,True,,Avenida dos Astronautas,secondary,60,False,66.198,0.011511575706157243,"LINESTRING (-45.8656856 -23.1955056, -45.8658229 -23.1949238)",,,
1446671028,1446671007,0,312071903,True,,Avenida dos Astronautas,secondary,60,False,104.46100000000001,0.05895887536283661,"LINESTRING (-45.8570945 -23.2098454, -45.8571415 -23.209737, -45.85723 -23.2095484, -45.8575321 -23.208997)",,,
1446671028,1454006732,0,312091236,True,,,secondary_link,,False,34.324999999999996,0.02313630075074503,"LINESTRING (-45.8570945 -23.2098454, -45.857075 -23.2097778, -45.8570638 -23.209742, -45.8570486 -23.2097058, -45.8570352 -23.2096855, -45.8570137 -23.2096621, -45.8569882 -23.2096467, -45.8569483 -23.2096368, -45.8569025 -23.209641)",,,
1446674016,1446748375,0,312071895,True,,,unclassified,,False,48.37700000000001,0.006412545066330638,"LINESTRING (-45.8558953 -23.2227214, -45.8558473 -23.2226931, -45.8558019 -23.2226446, -45.8557707 -23.2225877, -45.8557572 -23.2225252, -45.8557623 -23.2224616, -45.8557856 -23.2224016, -45.8558256 -23.2223495)",circular,,
1446674017,8167146377,0,132121239,True,,Avenida Doutor Amin Simão,tertiary,60,False,50.338,0.005551471875109385,"LINESTRING (-45.8561454 -23.2227145, -45.8561609 -23.2228276, -45.8561946 -23.2230263, -45.8562257 -23.2231609)",,,
1446674017,2143249780,0,448352067,True,,,unclassified,,False,11.127,0.02366201127095803,"LINESTRING (-45.8561454 -23.2227145, -45.8560959 -23.2227353, -45.8560427 -23.222746)",circular,,
1446674018,1446674021,0,"[131451065, 312106034, 312065462, 312106031]",True,2,Rua Doutora Tânia Lis Tizzoni Nogueira,unclassified,60,False,442.577,0.00369631418670587,"LINESTRING (-45.8606049 -23.2237976, -45.8610664 -23.2242429, -45.8613771 -23.2245271, -45.8614407 -23.2245852, -45.8616201 -23.2247494, -45.8614806 -23.2248836, -45.8612247 -23.2251297, -45.861084 -23.2252651, -45.86085 -23.2250292, -45.861303 -23.2245968, -45.8612582 -23.2245546, -45.8605319 -23.2238706)",,,
1446674018,1446674021,1,448343876,True,2,Rua Doutora Tânia Lis Tizzoni Nogueira,unclassified,60,False,11.807,0.00369631418670587,"LINESTRING (-45.8606049 -23.2237976, -45.8605978 -23.2238233, -45.8605819 -23.2238455, -45.8605592 -23.2238619, -45.8605319 -23.2238706)",roundabout,,
1446674020,1446674018,0,448343876,True,2,Rua Doutora Tânia Lis Tizzoni Nogueira,unclassified,60,False,21.381999999999998,0.00739612867093703,"LINESTRING (-45.8604587 -23.2237295, -45.8604816 -23.2237161, -45.8605079 -23.2237098, -45.8605351 -23.2237111, -45.8605591 -23.2237192, -45.8605795 -23.2237333, -45.8605947 -23.2237521, -45.8606035 -23.2237742, -45.8606049 -23.2237976)",roundabout,,
1446674021,1446674033,0,448343876,True,2,Rua Doutora Tânia Lis Tizzoni Nogueira,unclassified,60,False,13.242999999999999,0.007389128075886451,"LINESTRING (-45.8605319 -23.2238706, -45.860506 -23.2238711, -45.860481 -23.2238648, -45.8604591 -23.223852, -45.8604422 -23.223834, -45.8604317 -23.2238122)",roundabout,,
1446674033,1446674017,0,"[312065461, 312071887]",True,2,Rua Doutora Tânia Lis Tizzoni Nogueira,unclassified,60,False,460.035,0.007364625993209423,"LINESTRING (-45.8604317 -23.2238122, -45.8567256 -23.2226719, -45.8566023 -23.2226433, -45.8565001 -23.2226387, -45.8561454 -23.2227145)",,,
1446674033,1446674020,0,"[132234536, 448343875]",True,2,Rua Doutora Tânia Lis Tizzoni Nogueira,unclassified,60,False,10.091999999999999,2.1001785151737897e-05,"LINESTRING (-45.8604317 -23.2238122, -45.8604285 -23.2237897, -45.8604322 -23.2237673, -45.8604425 -23.2237467, -45.8604587 -23.2237295)",roundabout,,
1446674039,7808956271,0,312071892,True,,Avenida Brigadeiro Faria Lima,tertiary,60,False,133.724,0.02889145577374077,"LINESTRING (-45.8558943 -23.2220035, -45.8558271 -23.2218338, -45.8552864 -23.2209407)",,,
1446748353,3178886355,0,132120724,True,,Estrada Municipal Glaudistom P de Oliveira,secondary,,False,28.939999999999998,0.03491130341131504,"LINESTRING (-45.8540412 -23.218797, -45.8539567 -23.2187587, -45.8538765 -23.2187224, -45.8537872 -23.2186819)",,,
1446748353,1446670988,0,312071903,True,,Avenida dos Astronautas,secondary,60,False,62.684,0.04031743335956859,"LINESTRING (-45.8540412 -23.218797, -45.8540229 -23.2187171, -45.8540063 -23.2185718, -45.8540107 -23.218366, -45.8540161 -23.2183007, -45.8540288 -23.2182371)",,,
1446748354,1446748353,0,131460628,True,,,secondary_link,60,False,47.318,0.053781247067592235,"LINESTRING (-45.8543345 -23.2185508, -45.8542678 -23.2187313, -45.8542306 -23.218768, -45.8542011 -23.2187908, -45.8541568 -23.2188013, -45.8541069 -23.2188053, -45.8540774 -23.2188047, -45.8540412 -23.218797)",,,
1446748354,3178886345,0,312071893,True,,Avenida Brigadeiro Faria Lima,tertiary,60,False,230.83599999999998,0.036116069865938606,"LINESTRING (-45.8543345 -23.2185508, -45.8543412 -23.2187417, -45.8543199 -23.2189354, -45.8543278 -23.2190869, -45.854373 -23.219231, -45.8544372 -23.2193522, -45.8551065 -23.2204448)",,,
1446748371,1446748354,0,472739642,True,,Avenida dos Astronautas,secondary,60,False,32.785,0.08990081723105599,"LINESTRING (-45.8543399 -23.2182562, -45.8543426 -23.2184275, -45.8543345 -23.2185508)",,,
1446748375,1446674039,0,312071891,True,,,tertiary_link,,False,39.298,0.006321537330673107,"LINESTRING (-45.8558256 -23.2223495, -45.8558619 -23.2222359, -45.8558868 -23.2221294, -45.8558943 -23.2220035)",,,
1446748375,3178886311,0,877791480,True,,,residential,,False,18.209,8.750743813224124e-05,"LINESTRING (-45.8558256 -23.2223495, -45.8558707 -23.2223141, -45.8559236 -23.2222891, -45.8559812 -23.2222758)",circular,,
1446748386,1446674020,0,312071889,True,2,Rua Doutora Tânia Lis Tizzoni Nogueira,unclassified,60,False,460.52500000000003,0.007378627183310582,"LINESTRING (-45.8562105 -23.2223571, -45.8567545 -23.2225915, -45.8569069 -23.2226352, -45.8601819 -23.2236463, -45.8604088 -23.2237109, -45.8604587 -23.2237295)",,,
1446748386,1446674017,0,448352067,True,,,unclassified,,False,45.724,0.001837656200777066,"LINESTRING (-45.8562105 -23.2223571, -45.8562501 -23.2224152, -45.85627 -23.2224812, -45.8562685 -23.2225498, -45.8562457 -23.222615, -45.8562034 -23.2226715, -45.8561454 -23.2227145)",circular,,
1453950122,1454899416,0,885743517,False,,Rua Teodomiro Costa,residential,,False,48.334,9.880006467216381e-05,"LINESTRING (-45.8642372 -23.1948681, -45.8642615 -23.1953022)",,,
1453950122,1453960044,0,132112940,False,,Rua José Martins Xavier,residential,,False,143.519,0.002697295936821313,"LINESTRING (-45.8642372 -23.1948681, -45.8638344 -23.1959486, -45.863782 -23.1960891)",,,
1453950122,1453950288,0,"[132214761, 448342029]",False,,"['Rua Teodomiro Costa', 'Rua Marginal B']",residential,,True,357.74800000000005,0.0030352829990549198,"LINESTRING (-45.8642372 -23.1948681, -45.8643063 -23.194418, -45.8643224 -23.1943135, -45.8643377 -23.1942138, -45.8647648 -23.1923585, -45.8654099 -23.1926486)",,,
1453950123,1454899412,0,132110340,False,,Praça Benedito Ugolino da Silva Guerra,residential,,True,45.647,0.0013783171569583415,"LINESTRING (-45.864265 -23.1958164, -45.8644229 -23.1954324)",,,
1453950123,1453957511,0,132112831,False,,Praça Benedito Ugolino Silva Guerra,residential,,True,69.515,0.0015295300100508541,"LINESTRING (-45.864265 -23.1958164, -45.8649342 -23.1959281)",,,
1453950123,1453950300,0,885743516,False,,Rua Teodomiro Costa,residential,,False,174.952,0.003245159171862942,"LINESTRING (-45.864265 -23.1958164, -45.8639127 -23.1973561)",,,
1453950123,1454899416,0,448342045,True,,Rua Teodomiro Costa,residential,,False,57.18,0.004869338893805974,"LINESTRING (-45.864265 -23.1958164, -45.864261 -23.1955947, -45.8642615 -23.1953022)",,,
1453950288,1453950289,0,132110338,False,,Rua Raul Franco Martins,residential,,False,198.368,0.01216812317935913,"LINESTRING (-45.8654099 -23.1926486, -45.8649731 -23.1943868)",,,
1453950288,1453950122,0,"[132214761, 448342029]",False,,"['Rua Teodomiro Costa', 'Rua Marginal B']",residential,,False,357.74800000000005,0.0014333218323557442,"LINESTRING (-45.8654099 -23.1926486, -45.8647648 -23.1923585, -45.8643377 -23.1942138, -45.8643224 -23.1943135, -45.8643063 -23.194418, -45.8642372 -23.1948681)",,,
1453950289,1453957511,0,132110338,False,,Rua Raul Franco Martins,residential,,False,171.431,0.014705374956871334,"LINESTRING (-45.8649731 -23.1943868, -45.8649342 -23.1959281)",,,
1453950289,1453950288,0,132110338,False,,Rua Raul Franco Martins,residential,,True,198.368,0.0027824031709362115,"LINESTRING (-45.8649731 -23.1943868, -45.8654099 -23.1926486)",,,
1453950289,1454899412,0,132110340,False,,Praça Benedito Ugolino da Silva Guerra,residential,,False,129.151,0.0005596559040851807,"LINESTRING (-45.8649731 -23.1943868, -45.8644229 -23.1954324)",,,
1453950293,4453703042,0,132214755,False,,Rua Raul Franco Martins,residential,,False,85.06,0.008545626378242152,"LINESTRING (-45.8639126 -23.198817, -45.8639296 -23.1995818)",,,
1453950293,1453961350,0,132216058,False,,Rua Raul Franco Martins,residential,,True,28.997,0.04183295857925701,"LINESTRING (-45.8639126 -23.198817, -45.8640501 -23.1985889)",,,
1453950293,1453969481,0,132113592,False,,Rua Avião Brasília,residential,,False,166.38,0.05630642771302227,"LINESTRING (-45.8639126 -23.198817, -45.8637972 -23.199014, -45.8633106 -23.1995452, -45.8630825 -23.1999738, -45.863017 -23.2000549)",,,
1453950300,1453958821,0,132112834,False,,Rua Edésio José de Melo,residential,,False,59.782,0.012526631430338242,"LINESTRING (-45.8639127 -23.1973561, -45.8633836 -23.1971269)",,,
1453950300,1453957515,0,132112834,False,,Rua Edésio José de Melo,residential,,True,131.326,0.009251186350839822,"LINESTRING (-45.8639127 -23.1973561, -45.8648213 -23.196521)",,,
1453950300,1453957518,0,132214760,False,,Rua Teodomiro Costa,residential,,False,117.254,0.009389806466883017,"LINESTRING (-45.8639127 -23.1973561, -45.8634198 -23.1983083)",,,
1453950300,1453950123,0,885743516,False,,Rua Teodomiro Costa,residential,,True,174.952,0.005429025356044154,"LINESTRING (-45.8639127 -23.1973561, -45.864265 -23.1958164)",,,
1453957511,1453957515,0,132110338,False,,Rua Raul Franco Martins,residential,,False,66.93,0.017862218288554523,"LINESTRING (-45.8649342 -23.1959281, -45.8648213 -23.196521)",,,
1453957511,1453950289,0,132110338,False,,Rua Raul Franco Martins,residential,,True,171.431,0.004951131957327467,"LINESTRING (-45.8649342 -23.1959281, -45.8649731 -23.1943868)",,,
