u,v,key,osmid,oneway,name,highway,reversed,length,ebc,vulnerability,lanes,geometry,maxspeed,bridge,ref,junction
1437658990,1437681479,0,665146352,False,Rua Água Marinha,residential,False,47.688,0.001649264973248143,0.9994848119113154,,"LINESTRING (-45.8698476 -23.1915753, -45.869431 -23.1913822)",,,,
1437658990,2061117167,0,665146352,False,Rua Água Marinha,residential,True,65.862,0.05161247034786072,0.9990125853041053,,"LINESTRING (-45.8698476 -23.1915753, -45.8704132 -23.1918591)",,,,
1437659004,8213125501,0,665146350,True,Rua Ceci,secondary,False,53.761,0.05153974685297733,0.9987662610417559,2,"LINESTRING (-45.8699266 -23.1923071, -45.8695666 -23.1926596)",,,,
1437659004,1437659005,0,130573179,False,Rua Jade,residential,True,62.035000000000004,0.001589527816736793,0.9977062756021629,,"LINESTRING (-45.8699266 -23.1923071, -45.8699791 -23.192356, -45.8703527 -23.1927044)",,,,
1437659005,1437659004,0,130573179,False,Rua Jade,residential,False,62.035000000000004,0.00158433328138798,,,"LINESTRING (-45.8703527 -23.1927044, -45.8699791 -23.192356, -45.8699266 -23.1923071)",,,,
1437659008,1437668199,0,472740728,True,Rua Ceci,secondary,False,28.246,0.06657316503038804,0.9964555696434971,2,"LINESTRING (-45.8694539 -23.1927582, -45.869261 -23.1929401)",,,,
1437659009,1437659011,0,130573182,False,,residential,False,36.011,0.015133845860821083,0.9989714637349887,,"LINESTRING (-45.8694306 -23.193493, -45.8696386 -23.1932316)",,,,
1437659009,1437659020,0,"[823472461, 823472462]",True,Avenida Deputado Benedito Matarazzo,secondary,False,41.042,0.0016155004934808581,0.9998038234894712,,"LINESTRING (-45.8694306 -23.193493, -45.8694113 -23.1935746, -45.8694054 -23.1936439, -45.8694313 -23.1936933, -45.8694728 -23.1937367, -45.8695602 -23.1938019)",,,,
1437659011,1437659009,0,130573182,False,,residential,True,36.011,6.926047131750732e-05,,,"LINESTRING (-45.8696386 -23.1932316, -45.8694306 -23.193493)",,,,
1437659011,2278776524,0,313224447,False,,residential,True,34.751,0.015151593856596196,0.9995779216539901,,"LINESTRING (-45.8696386 -23.1932316, -45.8697044 -23.1931009, -45.8697119 -23.1930083, -45.8696996 -23.1929335)",,,,
1437659020,1437659025,0,218648968,True,,motorway_link,False,102.656,2.5972676744065244e-05,0.9999544056595978,,"LINESTRING (-45.8695602 -23.1938019, -45.8697044 -23.1939781, -45.8697805 -23.1941081, -45.869901 -23.1942453, -45.8700483 -23.1943613, -45.8701988 -23.1945064)",,,,
1437659085,3191506442,0,"[448350906, 130573189, 130573191]",True,"['Rua Bahia', 'Avenida dos Astronautas']",secondary,False,275.173,0.0667549737675965,0.9911532792104017,2,"LINESTRING (-45.8671338 -23.1945142, -45.8672831 -23.1945023, -45.8674483 -23.1944578, -45.8675921 -23.194384, -45.8677063 -23.1942995, -45.8677677 -23.1942466, -45.8678264 -23.1941852, -45.8679329 -23.1940287, -45.868433 -23.19314, -45.8687061 -23.1926525)",60,yes,,
1437661738,1453962116,0,772037048,True,Avenida dos Astronautas,secondary,False,150.332,0.06654719235364397,0.9926976698359968,4,"LINESTRING (-45.8676265 -23.1947219, -45.8665464 -23.1956396)",60,,,
1437668168,1437661738,0,"[472740728, 772037049, 130573186]",True,"['Rua Ceci', 'Avenida dos Astronautas', 'Viaduto Bandeirante']",secondary,False,241.25,0.06655238688899279,,2,"LINESTRING (-45.8691192 -23.193067, -45.8686623 -23.1934896, -45.868381 -23.1939807, -45.8681862 -23.1942308, -45.8676265 -23.1947219)",60,yes,,
1437668193,8555407414,0,883151734,False,Rua Espirito Santo,residential,False,28.972,0.001589527816736793,0.9975072273894482,1,"LINESTRING (-45.8690082 -23.1928182, -45.8687732 -23.1926725)",30,,,
1437668193,1437668168,0,130574166,True,Rua Espirito Santo,residential,False,30.088,0.003163472027427147,,1,"LINESTRING (-45.8690082 -23.1928182, -45.8690507 -23.1928844, -45.8690788 -23.1929393, -45.8691008 -23.1930017, -45.8691192 -23.193067)",30,,,
1437668199,1437668193,0,130574171,True,Rua Espirito Santo,residential,False,29.178,0.003173861098124773,,1,"LINESTRING (-45.869261 -23.1929401, -45.8690082 -23.1928182)",30,,,
1437668199,1437668168,0,472740728,True,Rua Ceci,secondary,False,20.228,0.06339410939691445,,2,"LINESTRING (-45.869261 -23.1929401, -45.8691192 -23.193067)",,,,
1437668208,1437668225,0,130574176,False,Rua Acre,residential,False,62.536,0.015717798209616815,0.9988341535446024,,"LINESTRING (-45.8676013 -23.1921144, -45.8672987 -23.1926032)",,,,
1437668208,1437681454,0,313245442,True,Rua Espirito Santo,residential,False,53.74,0.015002683843263554,0.9993894389674982,,"LINESTRING (-45.8676013 -23.1921144, -45.8671394 -23.1918835)",,,,
1437668220,1437668225,0,130574175,False,Avenida Deputado Benedito Matarazzo,residential,False,166.131,0.00021037868162692848,0.9993115336264472,,"LINESTRING (-45.8658661 -23.1918974, -45.8672987 -23.1926032)",,,,
1437668220,1437668258,0,130574179,True,,motorway_link,False,108.967,0.016739823039495783,0.9987759752323111,,"LINESTRING (-45.8658661 -23.1918974, -45.8658501 -23.19203, -45.8658864 -23.192145, -45.86597 -23.1922525, -45.8660876 -23.1923634, -45.8662386 -23.1924728, -45.8664561 -23.1926438)",,,,
1437668225,2061113644,0,130574175,False,Avenida Deputado Benedito Matarazzo,residential,False,116.703,0.001589527816736793,0.9975904002929785,,"LINESTRING (-45.8672987 -23.1926032, -45.8683009 -23.1931061)",,,,
1437668225,1437668220,0,130574175,False,Avenida Deputado Benedito Matarazzo,residential,True,166.131,0.015702214603570377,,,"LINESTRING (-45.8672987 -23.1926032, -45.8658661 -23.1918974)",,,,
1437668225,1437668208,0,130574176,False,Rua Acre,residential,True,62.536,0.00021557321697574154,,,"LINESTRING (-45.8672987 -23.1926032, -45.8676013 -23.1921144)",,,,
1437668258,3179970424,0,772037038,True,Rodovia Presidente Dutra,motorway,False,254.502,0.0182592246290236,0.9986617440379933,4,"LINESTRING (-45.8664561 -23.1926438, -45.8686602 -23.1937087)",100,,SP-060;BR-116,
1437681453,1437681455,0,130575666,False,Praça Paraíba,residential,False,29.626,0.00017921146953405018,0.9997300488835665,,"LINESTRING (-45.8678315 -23.1906358, -45.8676939 -23.1908703)",,,,
1437681453,1437681479,0,130653078,False,Rua Pernambuco,residential,True,183.346,0.012960365695288557,0.9996106083149813,,"LINESTRING (-45.8678315 -23.1906358, -45.869431 -23.1913822)",,,,
1437681453,1437681457,0,130653078,False,Rua Pernambuco,residential,False,53.721000000000004,0.00029392412515367165,0.9994219649579468,,"LINESTRING (-45.8678315 -23.1906358, -45.8675758 -23.1905626, -45.8673288 -23.1904948)",,,,
1437681454,1437681456,0,130575666,False,Praça Paraíba,residential,True,61.543,0.002633629421848216,0.9998170798486253,,"LINESTRING (-45.8671394 -23.1918835, -45.8674137 -23.1913908)",,,,
1437681454,1437681458,0,883200363,True,Rua Espirito Santo,residential,False,59.652,0.012506709608158886,0.999450061993526,,"LINESTRING (-45.8671394 -23.1918835, -45.866628 -23.191625)",,,,
1437681455,1437681456,0,130575666,False,Praça Paraíba,residential,False,64.575,0.0001480442574411719,0.9998996924511155,,"LINESTRING (-45.8676939 -23.1908703, -45.8674137 -23.1913908)",,,,
1437681455,1437681453,0,130575666,False,Praça Paraíba,residential,True,29.626,0.0016445033158450644,,,"LINESTRING (-45.8676939 -23.1908703, -45.8678315 -23.1906358)",,,,
1437681455,1437681459,0,130575668,False,Rua Alagoas,residential,True,218.697,0.0036140979689366793,0.9998895151429898,,"LINESTRING (-45.8676939 -23.1908703, -45.8695682 -23.191819)",,,,
1437681456,1437681454,0,130575666,False,Praça Paraíba,residential,False,61.543,0.00014284972209235885,,,"LINESTRING (-45.8674137 -23.1913908, -45.8671394 -23.1918835)",,,,
1437681456,1437681455,0,130575666,False,Praça Paraíba,residential,True,64.575,0.003636174744169134,,,"LINESTRING (-45.8674137 -23.1913908, -45.8676939 -23.1908703)",,,,
1437681456,1437681460,0,130575669,False,Rua Sergipe,residential,True,199.277,0.0021094142295638323,0.9998032156937694,,"LINESTRING (-45.8674137 -23.1913908, -45.8691359 -23.1922309)",,,,
1437681457,1437681458,0,130575667,False,Rua Amaranto,residential,False,144.652,0.00039478468650979174,0.9994153523738236,,"LINESTRING (-45.8673288 -23.1904948, -45.866628 -23.191625)",,,,
1437681457,1438333450,0,130653078,False,Rua Pernambuco,residential,False,64.435,0.009443665264142123,0.9991368535703181,,"LINESTRING (-45.8673288 -23.1904948, -45.86673 -23.1903136)",,,,
1437681457,1437681453,0,130653078,False,Rua Pernambuco,residential,True,53.721000000000004,0.01156823022180666,,,"LINESTRING (-45.8673288 -23.1904948, -45.8675758 -23.1905626, -45.8678315 -23.1906358)",,,,
1437681458,1437681457,0,130575667,False,Rua Amaranto,residential,True,144.652,0.011643118106418715,,,"LINESTRING (-45.866628 -23.191625, -45.8673288 -23.1904948)",,,,
1437681458,1437668220,0,"[883200363, 313224575]",True,Rua Espirito Santo,residential,False,109.546,0.001253181652901148,,,"LINESTRING (-45.866628 -23.191625, -45.8662618 -23.1914582, -45.866183 -23.1914563, -45.8661266 -23.1914827, -45.8658661 -23.1918974)",,,,
1437681459,1437658990,0,130573191,True,Rua Bahia,secondary,False,39.368,0.037244385573043826,,2,"LINESTRING (-45.8695682 -23.191819, -45.8698476 -23.1915753)",,,,
1437681459,1437681455,0,130575668,False,Rua Alagoas,residential,False,218.697,0.0015964538638685436,,,"LINESTRING (-45.8695682 -23.191819, -45.8676939 -23.1908703)",,,,
1437681460,1437681459,0,130573191,True,Rua Bahia,secondary,False,63.64,0.035231936003324506,,2,"LINESTRING (-45.8691359 -23.1922309, -45.8695682 -23.191819)",,,,
1437681460,1437681456,0,130575669,False,Rua Sergipe,residential,False,199.277,0.003111959551884751,,,"LINESTRING (-45.8691359 -23.1922309, -45.8674137 -23.1913908)",,,,
1437681479,1437681453,0,130653078,False,Rua Pernambuco,residential,False,183.346,0.00022596228767336762,,,"LINESTRING (-45.869431 -23.1913822, -45.8678315 -23.1906358)",,,,
1437681479,1437658990,0,665146352,False,Rua Água Marinha,residential,True,47.688,0.015965404394576905,,,"LINESTRING (-45.869431 -23.1913822, -45.8698476 -23.1915753)",,,,
1437681480,1437681479,0,130575674,True,Rua Martins Pereira,residential,False,122.476,0.0015869305490623866,,,"LINESTRING (-45.8699379 -23.1903842, -45.8699024 -23.19045, -45.8698812 -23.1904892, -45.869431 -23.1913822)",,,,
1437689817,1437668258,0,772038456,True,Rodovia Presidente Dutra,motorway,False,163.548,0.00152459612487663,,3,"LINESTRING (-45.8650608 -23.1919238, -45.8664561 -23.1926438)",100,,SP-060;BR-116,
