u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,ebc,vulnerability,bridge,junction
1434769669,3179970425,0,772037054,True,3,SP-060;BR-116,Rodovia Presidente Dutra,motorway,100,False,403.206,"LINESTRING (-45.8715213 -23.1952891, -45.8705307 -23.1948043, -45.8694731 -23.1942867, -45.8680391 -23.193585)",0.001554967001704488,0.9991282230658228,,
1434769703,1434769669,0,153736887,True,1,,Rodovia Pres Dutrabr 116,motorway,,False,298.988,"LINESTRING (-45.8739872 -23.1967287, -45.8732972 -23.1962774, -45.871933 -23.1955648, -45.8715213 -23.1952891)",0.0005813418126299535,,,
1434769703,1437661738,0,"[130573510, 772037055]",True,"['2', '1']",,,motorway_link,60,False,715.847,"LINESTRING (-45.8739872 -23.1967287, -45.870291 -23.1948369, -45.8697536 -23.194589, -45.8695373 -23.1945587, -45.8690354 -23.1945817, -45.8686307 -23.194576, -45.8681324 -23.1945507, -45.8679285 -23.1945761, -45.8676265 -23.1947219)",0.00039421517245464947,0.9993256561501537,,
1434786543,2905769452,0,789771648,True,,,Avenida Nair Toledo de Mira,secondary,,False,19.039,"LINESTRING (-45.8754474 -23.1927313, -45.8754022 -23.1925652)",0.0005981818303567542,0.9999437145780092,,
1434786543,2061127777,0,789771649,True,,,Rua Genésia Berardineli Tarantino,tertiary,,False,30.431,"LINESTRING (-45.8754474 -23.1927313, -45.8752922 -23.1928854, -45.8752451 -23.1929321)",0.004695448856305646,0.9996352416480851,,
1434786546,1437646813,0,130571658,True,,,,secondary_link,,False,30.985,"LINESTRING (-45.8738027 -23.1891115, -45.8737252 -23.1890512, -45.8736641 -23.1890156, -45.8736086 -23.1889851, -45.8735531 -23.1889547)",0.0018570998976792047,0.9999697489502124,,
1434786546,1437650668,0,448345142,True,,,Avenida Santos Dumont,secondary,,False,32.705999999999996,"LINESTRING (-45.8738027 -23.1891115, -45.8737059 -23.1889094, -45.8736688 -23.1888445)",0.0010459474908988047,0.9997547443113823,,
1434786547,2905769448,0,130571663,True,3,,Avenida Santos Dumont,secondary,50,False,99.864,"LINESTRING (-45.8736854 -23.1886102, -45.873755 -23.1886854, -45.8738029 -23.1887501, -45.8738356 -23.1888, -45.8738726 -23.1888772, -45.874129 -23.1894055)",0.010224292636014402,0.9995561463194912,,
1434786547,1437650668,0,130572197,True,,,,secondary_link,,False,26.683999999999997,"LINESTRING (-45.8736854 -23.1886102, -45.8736989 -23.1887259, -45.8736972 -23.1887786, -45.8736688 -23.1888445)",0.00910538213009656,0.9999370142345959,,
1434786551,2905769452,0,286900439,True,,,Avenida Nair Toledo de Mira,secondary,,False,16.467,"LINESTRING (-45.8755552 -23.1926116, -45.8754022 -23.1925652)",0.00181011455540006,0.9999081668033678,,
1434786551,1437641681,0,313224440,True,,,Avenida Santos Dumont,secondary,,False,53.480999999999995,"LINESTRING (-45.8755552 -23.1926116, -45.8756019 -23.1930047, -45.8756041 -23.1930902)",0.0022768515735812358,0.9997929044477178,,
1434786551,1434786543,0,973344588,True,,,Rua Genésia Berardineli Tarantino,secondary,,False,17.279,"LINESTRING (-45.8755552 -23.1926116, -45.8754639 -23.192712, -45.8754474 -23.1927313)",0.004076859557630459,,,
1434786552,8230948114,0,885100702,False,,,Avenida Samuel Wainer,secondary,60,True,15.644,"LINESTRING (-45.8756332 -23.1933201, -45.8755928 -23.1931844)",0.0019448356331364834,0.9998451683753973,,
1434786552,1434870722,0,249535523,False,,,Avenida Samuel Wainer,secondary,60,False,310.029,"LINESTRING (-45.8756332 -23.1933201, -45.8759402 -23.1943723, -45.8759973 -23.1945635, -45.8760077 -23.1946001, -45.8760662 -23.1948062, -45.8761836 -23.1952089, -45.8762048 -23.1952817, -45.8763624 -23.195839, -45.8763965 -23.195958, -45.8764127 -23.1960146)",0.000961068515009089,0.9985117783586066,,
1434870722,1434786552,0,249535523,False,,,Avenida Samuel Wainer,secondary,60,True,310.029,"LINESTRING (-45.8764127 -23.1960146, -45.8763965 -23.195958, -45.8763624 -23.195839, -45.8762048 -23.1952817, -45.8761836 -23.1952089, -45.8760662 -23.1948062, -45.8760077 -23.1946001, -45.8759973 -23.1945635, -45.8759402 -23.1943723, -45.8756332 -23.1933201)",0.0009726592910695002,,,
1437641681,8230948115,0,333874932,False,,,Rua Turmalina,tertiary,,False,8.638,"LINESTRING (-45.8756041 -23.1930902, -45.8755286 -23.1930553)",0.002769567902996485,0.9998503312111047,,
1437641681,8230948114,0,432812124,True,,,Avenida Samuel Wainer,secondary,60,False,10.538,"LINESTRING (-45.8756041 -23.1930902, -45.8755928 -23.1931844)",0.001913926896975387,0.9999431612232346,,
