u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ebc,vulnerability,ref,bridge,junction
1434769556,1434786538,0,"[838830603, 838830602, 472736203]",True,3,Avenida Deputado Benedito Matarazzo,primary,"['40', '60']",False,245.49300000000002,"LINESTRING (-45.8745623 -23.1963241, -45.8751243 -23.196691, -45.8754687 -23.1969159, -45.8763072 -23.1974633, -45.8763454 -23.1974915, -45.8763657 -23.1975076, -45.8765156 -23.1976086)",0.013914303839703483,0.997813840025659,,,
1434769669,3179970425,0,772037054,True,3,Rodovia Presidente Dutra,motorway,100,False,403.206,"LINESTRING (-45.8715213 -23.1952891, -45.8705307 -23.1948043, -45.8694731 -23.1942867, -45.8680391 -23.193585)",0.001428748108677061,0.9991906677164935,SP-060;BR-116,,
1434769703,1434769669,0,153736887,True,1,Rodovia Pres Dutrabr 116,motorway,,False,298.988,"LINESTRING (-45.8739872 -23.1967287, -45.8732972 -23.1962774, -45.871933 -23.1955648, -45.8715213 -23.1952891)",0.0005517005460167095,,,,
1434769703,1437661738,0,"[130573510, 772037055]",True,"['1', '2']",,motorway_link,60,False,715.847,"LINESTRING (-45.8739872 -23.1967287, -45.870291 -23.1948369, -45.8697536 -23.194589, -45.8695373 -23.1945587, -45.8690354 -23.1945817, -45.8686307 -23.194576, -45.8681324 -23.1945507, -45.8679285 -23.1945761, -45.8676265 -23.1947219)",0.0003269258601407802,0.9993991942132487,,,
1434786538,1434786526,0,772037047,True,2,Avenida Deputado Benedito Matarazzo,primary,60,False,74.412,"LINESTRING (-45.8765156 -23.1976086, -45.8770966 -23.1980119)",0.0007932598419276929,,,,
1434786538,1434875367,0,130175850,True,,,secondary,,False,45.708,"LINESTRING (-45.8765156 -23.1976086, -45.8766251 -23.1976417, -45.8767017 -23.1976378, -45.8767699 -23.1976075, -45.8768103 -23.1975419, -45.8768433 -23.1974576)",0.013121043997775781,0.9995332839844148,,,
1434786543,2905769452,0,789771648,True,,Avenida Nair Toledo de Mira,secondary,,False,19.039,"LINESTRING (-45.8754474 -23.1927313, -45.8754022 -23.1925652)",0.0012299912629128934,0.9999509026040556,,,
1434786543,2061127777,0,789771649,True,,Rua Genésia Berardineli Tarantino,tertiary,,False,30.431,"LINESTRING (-45.8754474 -23.1927313, -45.8752922 -23.1928854, -45.8752451 -23.1929321)",0.007893877476227289,0.9996341687145361,,,
1434786546,1437646813,0,130571658,True,,,secondary_link,,False,30.985,"LINESTRING (-45.8738027 -23.1891115, -45.8737252 -23.1890512, -45.8736641 -23.1890156, -45.8736086 -23.1889851, -45.8735531 -23.1889547)",0.0016304190513781987,0.9999741320968777,,,
1434786546,1437650668,0,448345142,True,,Avenida Santos Dumont,secondary,,False,32.705999999999996,"LINESTRING (-45.8738027 -23.1891115, -45.8737059 -23.1889094, -45.8736688 -23.1888445)",0.0013657962459998768,0.9997794690484095,,,
1434786547,2905769448,0,130571663,True,3,Avenida Santos Dumont,secondary,50,False,99.864,"LINESTRING (-45.8736854 -23.1886102, -45.873755 -23.1886854, -45.8738029 -23.1887501, -45.8738356 -23.1888, -45.8738726 -23.1888772, -45.874129 -23.1894055)",0.009458606576634995,0.9995733316977584,,,
1434786547,1437650668,0,130572197,True,,,secondary_link,,False,26.683999999999997,"LINESTRING (-45.8736854 -23.1886102, -45.8736989 -23.1887259, -45.8736972 -23.1887786, -45.8736688 -23.1888445)",0.008390796055241208,0.9999413595366325,,,
1434786551,2905769452,0,286900439,True,,Avenida Nair Toledo de Mira,secondary,,False,16.467,"LINESTRING (-45.8755552 -23.1926116, -45.8754022 -23.1925652)",0.002226342667369423,0.9999015292718881,,,
1434786551,1437641681,0,313224440,True,,Avenida Santos Dumont,secondary,,False,53.480999999999995,"LINESTRING (-45.8755552 -23.1926116, -45.8756019 -23.1930047, -45.8756041 -23.1930902)",0.0013408065258864552,0.999774008112695,,,
1434786551,1434786543,0,973344588,True,,Rua Genésia Berardineli Tarantino,secondary,,False,17.279,"LINESTRING (-45.8755552 -23.1926116, -45.8754639 -23.192712, -45.8754474 -23.1927313)",0.007213033604619652,,,,
1434786552,8230948114,0,885100702,False,,Avenida Samuel Wainer,secondary,60,True,15.644,"LINESTRING (-45.8756332 -23.1933201, -45.8755928 -23.1931844)",0.015350378192296484,0.9998511234525804,,,
