u,v,key,osmid,name,highway,oneway,reversed,length,ebc,geometry,junction
1454006785,1454008413,0,132119124,Avenida das Curruiras,residential,False,True,30.524,0.12257187257187258,"LINESTRING (-45.8526658 -23.2112599, -45.8529603 -23.2112141)",
1454006785,3179135121,0,312091250,Avenida das Curruiras,residential,True,False,25.063000000000002,0.0773892773892774,"LINESTRING (-45.8526658 -23.2112599, -45.8525639 -23.2113157, -45.8524543 -23.211374)",
1454006787,1454017538,0,312091253,Avenida das Curruiras,residential,False,False,50.748,0.07323232323232322,"LINESTRING (-45.8518511 -23.2115503, -45.8513896 -23.2117188)",
1454006787,3179135150,0,312091246,Avenida das Curruiras,residential,True,False,12.549,0.10163170163170163,"LINESTRING (-45.8518511 -23.2115503, -45.8518877 -23.2115165, -45.8519499 -23.2114852)",
1454006788,8863783287,0,132119310,Rua dos Jaburus,residential,False,False,63.778,0.037819217819217814,"LINESTRING (-45.8496187 -23.2121613, -45.8490605 -23.2119048)",
1454006788,1454017543,0,132119310,Rua dos Jaburus,residential,False,True,88.24,0.004662004662004662,"LINESTRING (-45.8496187 -23.2121613, -45.8503858 -23.2125256)",
1454006788,1454012796,0,312091253,Avenida das Curruiras,residential,False,True,117.292,0.026153846153846156,"LINESTRING (-45.8496187 -23.2121613, -45.8507258 -23.2118831)",
1454008398,1454008399,0,132119311,,residential,True,False,12.510000000000002,0.16035353535353536,"LINESTRING (-45.848026 -23.210729, -45.8480492 -23.2107219, -45.8480737 -23.2107221, -45.8480967 -23.2107297, -45.8481158 -23.2107438, -45.8481288 -23.2107629)",roundabout
1454008399,1454012823,0,132119122,Avenida dos Tangarás,residential,False,False,99.711,0.14500777000777,"LINESTRING (-45.8481288 -23.2107629, -45.8490845 -23.2105823)",
1454008399,1454008400,0,132119311,,residential,True,False,12.184000000000001,0.09751526251526252,"LINESTRING (-45.8481288 -23.2107629, -45.8481342 -23.2107842, -45.8481319 -23.210806, -45.8481222 -23.2108261, -45.848106 -23.2108422, -45.8480851 -23.2108527)",roundabout
1454008400,1454021600,0,312091244,Rua dos Jaburus,residential,False,True,20.775,0.018986013986013985,"LINESTRING (-45.8480851 -23.2108527, -45.8481239 -23.2110361)",
1454008400,1454008401,0,132119311,,residential,True,False,14.744,0.1401931401931402,"LINESTRING (-45.8480851 -23.2108527, -45.8480614 -23.2108565, -45.8480376 -23.2108531, -45.8480163 -23.2108429, -45.8479997 -23.2108269, -45.8479896 -23.2108068, -45.8479871 -23.2107849)",roundabout
1454008401,1454185783,0,132119313,,residential,True,False,20.096,0.12078754578754582,"LINESTRING (-45.8479871 -23.2107849, -45.8478145 -23.2106983)",
1454008401,1454008398,0,132119311,,residential,True,False,7.677,0.019405594405594407,"LINESTRING (-45.8479871 -23.2107849, -45.8479927 -23.2107625, -45.8480062 -23.2107431, -45.848026 -23.210729)",roundabout
1454008402,5327748879,0,132122679,Avenida Lívio Veneziani,residential,False,False,11.893,0.05962315462315462,"LINESTRING (-45.847635 -23.2106263, -45.8475228 -23.2106547)",
1454008402,1454011088,0,132119314,Rua Poncãs,residential,False,False,313.016,0.0951048951048951,"LINESTRING (-45.847635 -23.2106263, -45.8474359 -23.2100673, -45.8474346 -23.2099884, -45.8474413 -23.2099095, -45.8474533 -23.2098343, -45.8474855 -23.2097555, -45.8486362 -23.2081667)",
1454008402,1454011089,0,132122679,Avenida Lívio Veneziani,residential,False,True,321.701,0.08321678321678322,"LINESTRING (-45.847635 -23.2106263, -45.8477484 -23.2105998, -45.8480287 -23.2105418, -45.8485276 -23.2104728, -45.8496387 -23.2102664, -45.8502067 -23.2101114, -45.8506892 -23.2099513)",
1454008402,1454185783,0,330090732,,residential,False,True,20.11,0.13733488733488736,"LINESTRING (-45.847635 -23.2106263, -45.8477069 -23.2106646, -45.8478145 -23.2106983)",
1454008412,5355099068,0,132122679,Avenida Lívio Veneziani,residential,False,True,34.599,0.029836829836829837,"LINESTRING (-45.8530138 -23.2093152, -45.8533508 -23.209345)",
1454008412,7812477973,0,132119314,Rua Poncãs,residential,False,True,219.612,0.04121989121989121,"LINESTRING (-45.8530138 -23.2093152, -45.8521979 -23.2086603, -45.8514247 -23.2079863)",
1454008412,1454011089,0,132122679,Avenida Lívio Veneziani,residential,False,False,249.132,0.07804972804972804,"LINESTRING (-45.8530138 -23.2093152, -45.8528271 -23.2093278, -45.8523953 -23.2093931, -45.8519997 -23.2094966, -45.8511287 -23.2098219, -45.8506892 -23.2099513)",
1454008413,1454006785,0,132119124,Avenida das Curruiras,residential,False,False,30.524,0.08578088578088577,"LINESTRING (-45.8529603 -23.2112141, -45.8526658 -23.2112599)",
1454008413,1454012726,0,132119316,Rua dos Macucos,residential,False,False,61.342,0.13131313131313133,"LINESTRING (-45.8529603 -23.2112141, -45.8528867 -23.2106666)",
1454008414,1454012664,0,132119316,Rua dos Macucos,residential,False,True,59.249,0.01626651126651127,"LINESTRING (-45.8527484 -23.2096016, -45.8528205 -23.2101303)",
1454008414,1454012811,0,132119122,Avenida dos Tangarás,residential,False,True,270.861,0.017333592333592333,"LINESTRING (-45.8527484 -23.2096016, -45.8524344 -23.2096519, -45.8518983 -23.2097838, -45.851216 -23.210002, -45.850216 -23.2103089)",
1454011088,1454011089,0,132119446,Rua Goiabeiras,residential,False,False,288.787,0.006954156954156953,"LINESTRING (-45.8486362 -23.2081667, -45.8506892 -23.2099513)",
