u,v,key,osmid,oneway,name,highway,reversed,length,geometry,ebc,junction,bridge
1454006735,1454006737,0,132119118,True,Avenida das Sairas,residential,False,39.563,"LINESTRING (-45.8558198 -23.2103783, -45.8556936 -23.210493, -45.8555415 -23.2106256)",0.005921855921855921,,
1454006735,3179135096,0,132119123,True,,residential,False,20.546,"LINESTRING (-45.8558198 -23.2103783, -45.8557398 -23.2104185, -45.8556307 -23.2104304)",0.0007783882783882784,,
1454006735,1454006763,0,312091241,True,,residential,False,17.713,"LINESTRING (-45.8558198 -23.2103783, -45.8557671 -23.2103815, -45.8557255 -23.2103612, -45.8556773 -23.2103103)",0.002823565323565323,,
1454006737,1454012686,0,312091239,False,Avenida das Sairas,residential,False,39.501,"LINESTRING (-45.8555415 -23.2106256, -45.8552934 -23.210898)",0.01284842141984999,,
1454006737,3179135096,0,132119120,True,,residential,False,23.729,"LINESTRING (-45.8555415 -23.2106256, -45.8555759 -23.2105158, -45.8556307 -23.2104304)",0.0289937641723356,,
1454006738,1454008413,0,132119124,False,Avenida das Curruiras,residential,False,175.61599999999999,"LINESTRING (-45.8545376 -23.2117353, -45.8544694 -23.2116828, -45.8543184 -23.2115667, -45.8540623 -23.2114275, -45.8537304 -23.2113223, -45.8534963 -23.2112534, -45.85329 -23.211228, -45.8529603 -23.2112141)",0.020690083725798013,,
1454006738,6308115793,0,132133901,False,Avenida das Sairas,residential,False,73.294,"LINESTRING (-45.8545376 -23.2117353, -45.8542184 -23.2121119, -45.8541472 -23.2121892, -45.8540843 -23.2122452)",0.033968035932321665,,
1454006738,1454012689,0,312091239,False,Avenida das Sairas,residential,True,62.147,"LINESTRING (-45.8545376 -23.2117353, -45.8545944 -23.2116764, -45.8549289 -23.2113075)",0.02784318855747427,,
1454006745,3179135102,0,312091242,True,Avenida Lívio Veneziani,residential,False,31.796,"LINESTRING (-45.855503 -23.2099582, -45.8558133 -23.209979)",0.003663003663003663,,
1454006745,5355099068,0,132122679,False,Avenida Lívio Veneziani,residential,False,231.332,"LINESTRING (-45.855503 -23.2099582, -45.8551593 -23.2098689, -45.8549005 -23.2097678, -45.8545102 -23.2096026, -45.8543587 -23.2095509, -45.8542138 -23.209504, -45.8540359 -23.2094657, -45.8535376 -23.2093766, -45.8533508 -23.209345)",0.08684249943178517,,
1454006760,1454006745,0,132119120,True,,residential,False,25.201,"LINESTRING (-45.8556745 -23.2101163, -45.8556312 -23.2100546, -45.8555928 -23.2100151, -45.855503 -23.2099582)",0.08332601591530166,,
1454006760,3179135102,0,312091243,True,Avenida dos Tangarás,residential,False,21.444000000000003,"LINESTRING (-45.8556745 -23.2101163, -45.8556894 -23.2100866, -45.8557158 -23.2100486, -45.8557438 -23.2100186, -45.8557683 -23.2100003, -45.8558133 -23.209979)",0.005860805860805861,,
1454006763,1454006760,0,132119120,True,,residential,False,21.712000000000003,"LINESTRING (-45.8556773 -23.2103103, -45.8556871 -23.2101882, -45.8556745 -23.2101163)",0.018292233560090704,,
1454006767,1454008414,0,132119122,False,Avenida dos Tangarás,residential,True,276.564,"LINESTRING (-45.8553087 -23.210222, -45.8550601 -23.2100839, -45.8547691 -23.2099286, -45.8544955 -23.2098159, -45.8542751 -23.2097534, -45.8538695 -23.2096482, -45.8535197 -23.2095962, -45.8531945 -23.2095783, -45.8529647 -23.2095822, -45.8527484 -23.2096016)",0.014728181871039013,,
1454006767,1454006760,0,312091243,True,Avenida dos Tangarás,residential,False,41.783,"LINESTRING (-45.8553087 -23.210222, -45.8553812 -23.2102308, -45.855452 -23.2102291, -45.8555599 -23.2102053, -45.8556086 -23.210185, -45.855643 -23.2101579, -45.8556745 -23.2101163)",0.07089458821601681,,
1454006785,1454008413,0,132119124,False,Avenida das Curruiras,residential,True,30.524,"LINESTRING (-45.8526658 -23.2112599, -45.8529603 -23.2112141)",0.048313928135356704,,
1454006785,3179135121,0,312091250,True,Avenida das Curruiras,residential,False,25.063000000000002,"LINESTRING (-45.8526658 -23.2112599, -45.8525639 -23.2113157, -45.8524543 -23.211374)",0.030689010318131187,,
1454006787,1454017538,0,312091253,False,Avenida das Curruiras,residential,False,50.748,"LINESTRING (-45.8518511 -23.2115503, -45.8513896 -23.2117188)",0.027169913419913413,,
1454006787,3179135150,0,312091246,True,Avenida das Curruiras,residential,False,12.549,"LINESTRING (-45.8518511 -23.2115503, -45.8518877 -23.2115165, -45.8519499 -23.2114852)",0.040964590964590965,,
1454006788,8863783287,0,132119310,False,Rua dos Jaburus,residential,False,63.778,"LINESTRING (-45.8496187 -23.2121613, -45.8490605 -23.2119048)",0.06667071354571354,,
1454006788,1454017543,0,132119310,False,Rua dos Jaburus,residential,True,88.24,"LINESTRING (-45.8496187 -23.2121613, -45.8503858 -23.2125256)",0.040554867903769026,,
1454006788,1454012796,0,312091253,False,Avenida das Curruiras,residential,True,117.292,"LINESTRING (-45.8496187 -23.2121613, -45.8507258 -23.2118831)",0.013179727019012733,,
