osmid,y,x,street_count,dc,cc,nbc,vulnerability,com,highway,geometry
1437659085,-23.1945142,-45.8671338,3,0.0019083969465648854,0.03743980742790684,0.0,1.0010323031182053,0.010190656252939098,,POINT (-45.8671338 -23.1945142)
1446670972,-23.1949238,-45.8658229,3,0.0057251908396946565,0.03875557899745738,0.0037949002379110536,0.9953268904383731,0.021489097905791232,motorway_junction,POINT (-45.8658229 -23.1949238)
1446670988,-23.2182371,-45.8540288,4,0.007633587786259542,0.052930736894301306,0.08833548829404055,0.9867625066480489,0.0608420889247149,,POINT (-45.8540288 -23.2182371)
1446670989,-23.2140414,-45.8569489,4,0.007633587786259542,0.06035181157718666,0.008966532649321445,0.9976058389598815,0.05982629499171611,,POINT (-45.8569489 -23.2140414)
1446671002,-23.2230937,-45.8560897,3,0.0057251908396946565,0.03999165123091977,0.0037876023528381477,1.000562607343608,0.04434671398500045,,POINT (-45.8560897 -23.2230937)
1446671007,-23.208997,-45.8575321,3,0.0057251908396946565,0.0670293707556349,0.15799517558526024,0.9957707695907883,0.044984707740128436,,POINT (-45.8575321 -23.208997)
1446671010,-23.2000514,-45.8639063,3,0.0057251908396946565,0.04219484750189277,0.0070467770106889685,0.9996722080431453,0.03988387855907867,,POINT (-45.8639063 -23.2000514)
1446671013,-23.2192006,-45.854189,3,0.0057251908396946565,0.045377947820512556,0.03509188037306789,0.9987014967827318,0.0498077484567542,,POINT (-45.854189 -23.2192006)
1446671015,-23.203508,-45.8612975,3,0.007633587786259542,0.054736936522199985,0.08011722563361598,0.994780633851625,0.04505343757111187,,POINT (-45.8612975 -23.203508)
1446671018,-23.2055917,-45.8605262,4,0.009541984732824428,0.06133143097876417,0.1473871827807193,0.9914048055828453,0.0558008800513696,,POINT (-45.8605262 -23.2055917)
1446671019,-23.2003589,-45.8636959,3,0.0057251908396946565,0.044049526031984594,0.007032181240543157,0.9994820774430148,0.04737236859101749,,POINT (-45.8636959 -23.2003589)
1446671022,-23.2107427,-45.8569899,3,0.007633587786259542,0.05929251557019431,0.06492642603879399,0.9967549100431919,0.04678976285968606,,POINT (-45.8569899 -23.2107427)
1446671027,-23.1955056,-45.8656856,3,0.0057251908396946565,0.040175670959254714,0.005681403529257221,0.9920647703539968,0.030608191641420156,traffic_signals,POINT (-45.8656856 -23.1955056)
1446671028,-23.2098454,-45.8570945,3,0.0057251908396946565,0.057281696962423544,0.08659738994790962,0.9931483531611668,0.041450162592773704,,POINT (-45.8570945 -23.2098454)
1446674016,-23.2227214,-45.8558953,3,0.0057251908396946565,0.04169815347424031,0.004663348561586852,1.0005397186628642,0.04932435061134639,,POINT (-45.8558953 -23.2227214)
1446674017,-23.2227145,-45.8561454,5,0.009541984732824428,0.04545477735255584,0.027921708288937867,0.9985837167408197,0.08181668855840096,,POINT (-45.8561454 -23.2227145)
1446674018,-23.2237976,-45.8606049,3,0.0057251908396946565,0.04164368613359308,0.005652211988965598,1.0007745267045958,0.021851104023569143,,POINT (-45.8606049 -23.2237976)
1446674020,-23.2237295,-45.8604587,3,0.0057251908396946565,0.04346770442696052,0.005637616218819786,1.000256210737857,0.03899390040066894,,POINT (-45.8604587 -23.2237295)
1446674021,-23.2238706,-45.8605319,3,0.0057251908396946565,0.03996658398890399,0.005666807759111409,1.0007471357667814,0.022932559733128476,,POINT (-45.8605319 -23.2238706)
1446674033,-23.2238122,-45.8604317,3,0.0057251908396946565,0.03841933504936218,0.005681403529257221,1.0001610632696565,0.04448180245697872,,POINT (-45.8604317 -23.2238122)
1446674039,-23.2220035,-45.8558943,3,0.0057251908396946565,0.040060748562819576,0.027731963277042315,1.0000126336458413,0.04856225768429392,,POINT (-45.8558943 -23.2220035)
1446748353,-23.218797,-45.8540412,4,0.007633587786259542,0.04971187130400367,0.07369170709513398,0.9988622457439178,0.06233010523818519,,POINT (-45.8540412 -23.218797)
1446748354,-23.2185508,-45.8543345,3,0.0057251908396946565,0.051907348270111085,0.08811354431337476,0.9947942099331016,0.048760374383926615,,POINT (-45.8543345 -23.2185508)
1446748371,-23.2182562,-45.8543399,3,0.0057251908396946565,0.054772201379832665,0.08809894854322894,0.9789883411185463,0.04722321526899134,,POINT (-45.8543399 -23.2182562)
1446748375,-23.2223495,-45.8558256,3,0.0057251908396946565,0.04002302953710331,0.004677944331732664,1.0002914398064577,0.049910227638572065,,POINT (-45.8558256 -23.2223495)
1446748386,-23.2223571,-45.8562105,3,0.0057251908396946565,0.045377947820512556,0.007487630084801425,0.9997367498366411,0.057159157163355144,,POINT (-45.8562105 -23.2223571)
1453950122,-23.1948681,-45.8642372,3,0.007633587786259542,0.03582872174266922,0.002314645882289984,1.001000316426471,0.02315040426101237,,POINT (-45.8642372 -23.1948681)
1453950123,-23.1958164,-45.864265,4,0.013358778625954198,0.0385529069193849,0.01163715540950509,1.0002188007701152,0.05625936904012759,,POINT (-45.864265 -23.1958164)
1453950289,-23.1943868,-45.8649731,3,0.007633587786259542,0.03848310158056444,0.0018366344100146444,1.00094011737016,0.02691445535463172,,POINT (-45.8649731 -23.1943868)
1453950293,-23.198817,-45.8639126,3,0.011450381679389313,0.04517700039415302,0.09625247519935388,0.9484686366775469,0.03982406990431209,,POINT (-45.8639126 -23.198817)
1453950300,-23.1973561,-45.8639127,4,0.015267175572519083,0.040079634748988895,0.03864751423608809,0.9988788969792347,0.05736190167734009,,POINT (-45.8639127 -23.1973561)
1453957511,-23.1959281,-45.8649342,3,0.011450381679389313,0.040004196647351706,0.010516096006805954,1.0003532350000637,0.04089972903559255,,POINT (-45.8649342 -23.1959281)
1453957515,-23.196521,-45.8648213,3,0.011450381679389313,0.04165048676821929,0.03497407165689118,0.9997762673726739,0.04411273822534144,,POINT (-45.8648213 -23.196521)
1453957518,-23.1983083,-45.8634198,3,0.011450381679389313,0.04166409470312682,0.038026186201714725,0.998668303175714,0.041598631285981354,,POINT (-45.8634198 -23.1983083)
1453958821,-23.1971269,-45.8633836,3,0.011450381679389313,0.03857914925505836,0.025132630373241437,0.9988898580713905,0.03893176101762765,,POINT (-45.8633836 -23.1971269)
1453958828,-23.1979287,-45.8625623,3,0.011450381679389313,0.0400104723076619,0.013552242084053439,0.9973906012961145,0.029318094569512804,,POINT (-45.8625623 -23.1979287)
1453960044,-23.1960891,-45.863782,3,0.011450381679389313,0.03462251486122186,0.003888434798262131,0.9988970888360423,0.02409815912042283,,POINT (-45.863782 -23.1960891)
1453960046,-23.1955296,-45.8622353,1,0.003816793893129771,0.03345094835401545,0.0,1.0015088344476744,0.010850009432863668,turning_circle,POINT (-45.8622353 -23.1955296)
1453960056,-23.196516,-45.8636128,3,0.011450381679389313,0.035843827661470144,0.00908696159852887,0.99859331635878,0.025612856734636466,,POINT (-45.8636128 -23.196516)
1453960060,-23.195913,-45.862102,1,0.003816793893129771,0.034589646128051925,0.0,1.0013952270145279,0.011274913477057698,turning_circle,POINT (-45.862102 -23.195913)
1453960064,-23.1969251,-45.863447,3,0.011450381679389313,0.03716528316578373,0.016478016337532365,0.9978133977616759,0.02857288164866442,,POINT (-45.863447 -23.1969251)
1453960077,-23.1962916,-45.8619327,1,0.003816793893129771,0.03581865820169803,0.0,1.0012586768136025,0.011876661528468554,turning_circle,POINT (-45.8619327 -23.1962916)
1453960082,-23.1973073,-45.8631433,3,0.011450381679389313,0.037157161381875116,0.003989441002854516,0.9983505173828929,0.028809000875280925,,POINT (-45.8631433 -23.1973073)
1453960083,-23.1967154,-45.861713,1,0.003816793893129771,0.03581111425515176,0.0,1.0012658849551328,0.011915342536573899,turning_circle,POINT (-45.861713 -23.1967154)
1453960087,-23.1976844,-45.8628366,3,0.011450381679389313,0.0385150642895184,0.006288344304487334,0.9982178936664431,0.026837562582935792,,POINT (-45.8628366 -23.1976844)
1453960093,-23.1970962,-45.8615041,1,0.003816793893129771,0.037070749378661456,0.0,1.0011774505870998,0.011505444559249716,turning_circle,POINT (-45.8615041 -23.1970962)
1453961350,-23.1985889,-45.8640501,3,0.011450381679389313,0.043364236287544135,0.079828663034405,0.9521505626053679,0.04057930044064304,,POINT (-45.8640501 -23.1985889)
1453962116,-23.1956396,-45.8665464,3,0.003816793893129771,0.0,0.0,0.9996291372932924,0.02541781337817925,,POINT (-45.8665464 -23.1956396)
1453969481,-23.2000549,-45.863017,3,0.011450381679389313,0.04705659699726768,0.09914660790826622,0.991395848012821,0.04326094090632575,,POINT (-45.863017 -23.2000549)
1453969483,-23.2005558,-45.8624817,4,0.015267175572519083,0.048529494001558524,0.06818917266089246,0.9962667916480095,0.05482492401580527,,POINT (-45.8624817 -23.2005558)
1453969491,-23.2015007,-45.8613897,3,0.011450381679389313,0.05047432331786876,0.05069885910267932,0.997088737289866,0.043827823226641346,,POINT (-45.8613897 -23.2015007)
1453969497,-23.2020445,-45.8610896,3,0.009541984732824428,0.048911066396623036,0.006619177881868524,0.999571989850059,0.041128673289949465,,POINT (-45.8610896 -23.2020445)
